trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,min_volume_norm,trend_ma_days,aligned_scale,counter_scale,volume_trend_lookback,volume_trend_threshold,high_volume_scale,low_volume_scale,setup_time_utc,setup_time_et,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,setup_bar_idx,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,confirmation_end_idx,entry_trigger_price,entry_wait_bars,confirmation_avg_volume_norm,entry_volume_norm,trend_ma_lag1,trend_state,ma_scale,volume_trend_lag1,volume_state,volume_scale,position_scale,initial_risk,risk_pct_of_entry,raw_return_pct,return_pct,raw_r_multiple,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_setup,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_setup,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-01-19 18:25:00+00:00,2017-01-19 13:25:00-05:00,2017-01-23 18:25:00+00:00,2017-01-24 20:55:00+00:00,2017-01-23 13:25:00-05:00,2017-01-24 15:55:00-05:00,24,2017-01-23,2017-01-24,Monday,bounce,long,4,21,115.77,115.26,114.72722222222225,,28,31,27,115.77,4,1.6907103699262973,1.1091091665471238,,unknown,1.0,1.6203771664158055,high,1.5,1.5,1.0427777777777436,0.00900732294875826,-0.004405286343612258,-0.006607929515418387,-0.48907831646244737,-0.733617474693671,safety_break,3,1.5,support,3,12,110.6,112.165,0.1738888888888902,0.0015219812013440226,114.2516666666667,114.94722222222225,4,support,3,12,110.6,112.165,0.1738888888888902,0.0015219812013440226,114.2516666666667,114.94722222222225,4,3,12,110.6,112.165,0.1738888888888902,4,0,"[{""start_idx"":28,""end_idx"":31,""kind"":""support"",""anchor1_idx"":3,""anchor2_idx"":12,""anchor1_price"":110.6,""anchor2_price"":112.165,""slope"":0.1738888888888902,""touch_count"":4}]",0.23974427277571378,-0.795950985615368
2,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-01-31 18:25:00+00:00,2017-01-31 13:25:00-05:00,2017-02-02 18:25:00+00:00,2017-02-13 18:25:00+00:00,2017-02-02 13:25:00-05:00,2017-02-13 13:25:00-05:00,40,2017-02-02,2017-02-13,Thursday,break,long,3,12,115.755,116.69,112.83652272727272,,44,58,42,115.755,4,1.5018373145810155,0.9049394500783274,,unknown,1.0,1.430132253016877,high,1.5,1.5,2.918477272727273,0.025212537451749582,0.008077404863720883,0.012116107295581324,0.32037254795075343,0.48055882192613014,safety_break,14,7.0,resistance,28,38,116.17,114.3,-0.18700000000000044,-0.0016414163579867671,113.926,113.178,3,support,12,34,112.165,112.83,0.030227272727272367,0.0002674710910004996,113.01136363636363,113.13227272727272,3,36,56,112.805,116.675,0.1934999999999995,3,1,"[{""start_idx"":44,""end_idx"":57,""kind"":""support"",""anchor1_idx"":12,""anchor2_idx"":34,""anchor1_price"":112.165,""anchor2_price"":112.83,""slope"":0.030227272727272367,""touch_count"":3},{""start_idx"":58,""end_idx"":58,""kind"":""support"",""anchor1_idx"":36,""anchor2_idx"":56,""anchor1_price"":112.805,""anchor2_price"":116.675,""slope"":0.1934999999999995,""touch_count"":3}]",0.9713969769415896,-0.015418999633994027
3,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-02-15 18:25:00+00:00,2017-02-15 13:25:00-05:00,2017-02-17 18:25:00+00:00,2017-02-21 20:55:00+00:00,2017-02-17 13:25:00-05:00,2017-02-21 15:55:00-05:00,62,2017-02-17,2017-02-21,Friday,bounce,long,5,28,118.35,117.745,117.04638461538462,,66,71,64,118.35,4,1.159913389754229,1.4926788863357023,,unknown,1.0,0.9180314278636008,low,1.0,1.0,1.3036153846153695,0.01101491664229294,-0.005111956062526346,-0.005111956062526346,-0.4640939399303687,-0.4640939399303687,safety_break,5,2.5,support,34,60,112.83,116.385,0.1367307692307695,0.0011720604526032623,116.65846153846154,117.20538461538462,5,support,34,60,112.83,116.385,0.1367307692307695,0.0011720604526032623,116.65846153846154,117.20538461538462,5,34,60,112.83,116.385,0.1367307692307695,5,0,"[{""start_idx"":66,""end_idx"":71,""kind"":""support"",""anchor1_idx"":34,""anchor2_idx"":60,""anchor1_price"":112.83,""anchor2_price"":116.385,""slope"":0.1367307692307695,""touch_count"":5}]",0.0,-1.2196848999823036
4,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-02-22 20:55:00+00:00,2017-02-22 15:55:00-05:00,2017-02-24 18:25:00+00:00,2017-03-02 18:25:00+00:00,2017-02-24 13:25:00-05:00,2017-03-02 13:25:00-05:00,73,2017-02-24,2017-03-02,Friday,bounce,long,4,15,119.155,117.41,117.37503571428572,,76,84,74,119.155,3,1.0877182386344284,1.463930747034306,,unknown,1.0,0.9367647607581608,low,1.0,1.0,1.7799642857142857,0.014938225720400199,-0.014644790399060081,-0.014644790399060081,-0.9803567487309162,-0.9803567487309162,safety_break,8,4.0,support,58,72,116.15,117.25,0.07857142857142817,0.0006696700353098712,117.32857142857142,117.56428571428572,4,support,58,72,116.15,117.25,0.07857142857142817,0.0006696700353098712,117.32857142857142,117.56428571428572,4,58,72,116.15,117.25,0.07857142857142817,4,0,"[{""start_idx"":76,""end_idx"":84,""kind"":""support"",""anchor1_idx"":58,""anchor2_idx"":72,""anchor1_price"":116.15,""anchor2_price"":117.25,""slope"":0.07857142857142817,""touch_count"":4}]",0.6994522362005684,-1.0842914183671462
5,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-03-06 20:55:00+00:00,2017-03-06 15:55:00-05:00,2017-03-09 20:55:00+00:00,2017-03-14 17:25:00+00:00,2017-03-09 15:55:00-05:00,2017-03-14 13:25:00-04:00,89,2017-03-09,2017-03-14,Thursday,break,short,3,29,114.41,114.57,115.88349999999998,,95,100,94,114.41,6,1.2337375608259689,0.5923868361090884,,unknown,1.0,0.8268672550284156,low,1.0,1.0,1.4734999999999872,0.012879118958132919,-0.001398479153920107,-0.001398479153920107,-0.10858500169663929,-0.10858500169663929,safety_break,5,2.5,support,60,70,116.385,116.76,0.0375,0.0003192236480878503,117.47250000000001,117.6975,3,resistance,78,80,120.4,119.855,-0.27250000000000085,-0.0023210749345201408,117.4025,115.76749999999998,4,78,80,120.4,119.855,-0.27250000000000085,4,0,"[{""start_idx"":95,""end_idx"":100,""kind"":""resistance"",""anchor1_idx"":78,""anchor2_idx"":80,""anchor1_price"":120.4,""anchor2_price"":119.855,""slope"":-0.27250000000000085,""touch_count"":4}]",0.19341703427214052,-0.41058703766542876
6,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-04-03 17:25:00+00:00,2017-04-03 13:25:00-04:00,2017-04-04 17:25:00+00:00,2017-04-24 17:25:00+00:00,2017-04-04 13:25:00-04:00,2017-04-24 13:25:00-04:00,128,2017-04-04,2017-04-24,Tuesday,break,long,3,10,119.37,121.43,118.22129545454546,,130,158,129,119.37,2,1.0756294641687352,0.46577255740910434,,unknown,1.0,1.1438775428233634,high,1.5,1.5,1.1487045454545495,0.009623058938213533,0.017257267320097247,0.02588590098014587,1.7933244959737211,2.689986743960582,safety_break,28,14.0,resistance,118,126,120.08,119.08,-0.125,-0.0010519229150887824,118.83,118.58,3,support,114,125,118.32,118.33,0.0009090909090913742,7.6824977336671e-06,118.33272727272727,118.33454545454545,3,132,152,118.4,121.285,0.14424999999999955,2,3,"[{""start_idx"":130,""end_idx"":133,""kind"":""support"",""anchor1_idx"":114,""anchor2_idx"":125,""anchor1_price"":118.32,""anchor2_price"":118.33,""slope"":0.0009090909090913742,""touch_count"":3},{""start_idx"":134,""end_idx"":139,""kind"":""support"",""anchor1_idx"":114,""anchor2_idx"":132,""anchor1_price"":118.32,""anchor2_price"":118.4,""slope"":0.004444444444445139,""touch_count"":4},{""start_idx"":140,""end_idx"":153,""kind"":""support"",""anchor1_idx"":105,""anchor2_idx"":138,""anchor1_price"":116.69,""anchor2_price"":118.85,""slope"":0.06545454545454535,""touch_count"":3},{""start_idx"":154,""end_idx"":158,""kind"":""support"",""anchor1_idx"":132,""anchor2_idx"":152,""anchor1_price"":118.4,""anchor2_price"":121.285,""slope"":0.14424999999999955,""touch_count"":2}]",3.2297251844963526,-0.8444294956769444
7,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-05-01 17:25:00+00:00,2017-05-01 13:25:00-04:00,2017-05-04 17:25:00+00:00,2017-05-17 17:25:00+00:00,2017-05-04 13:25:00-04:00,2017-05-17 13:25:00-04:00,168,2017-05-04,2017-05-17,Thursday,bounce,short,4,20,117.945,119.75,120.12142105263158,,174,192,173,117.945,6,1.728880910791803,1.4640398250802096,,unknown,1.0,1.3244535848895602,high,1.5,1.5,2.176421052631582,0.018452847112057164,-0.015303743270168368,-0.022955614905252553,-0.8293431998452331,-1.2440147997678497,safety_break,18,9.0,resistance,148,167,123.08,120.755,-0.12236842105263172,-0.001014389054196736,120.63263157894737,119.89842105263158,4,resistance,148,167,123.08,120.755,-0.12236842105263172,-0.001014389054196736,120.63263157894737,119.89842105263158,4,148,167,123.08,120.755,-0.12236842105263172,4,0,"[{""start_idx"":174,""end_idx"":192,""kind"":""resistance"",""anchor1_idx"":148,""anchor2_idx"":167,""anchor1_price"":123.08,""anchor2_price"":120.755,""slope"":-0.12236842105263172,""touch_count"":4}]",1.1004304507641676,-0.9143451344554101
8,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-05-17 19:55:00+00:00,2017-05-17 15:55:00-04:00,2017-05-22 19:55:00+00:00,2017-05-25 19:55:00+00:00,2017-05-22 15:55:00-04:00,2017-05-25 15:55:00-04:00,193,2017-05-22,2017-05-25,Monday,break,long,3,22,120.05,119.51,118.64025000000001,,199,205,198,120.05,6,1.453979097848289,1.8092645304546044,,unknown,1.0,1.3066507040753021,high,1.5,1.5,1.4097499999999883,0.011743023740108192,-0.004498125780924567,-0.00674718867138685,-0.3830466394750818,-0.5745699592126227,safety_break,6,3.0,resistance,171,188,119.65,117.535,-0.12441176470588289,-0.0010641402350668216,116.91294117647058,116.16647058823528,3,support,181,189,115.55,116.98,0.17875000000000085,0.0015187561068864509,117.69500000000001,118.76750000000001,3,181,189,115.55,116.98,0.17875000000000085,3,0,"[{""start_idx"":199,""end_idx"":205,""kind"":""support"",""anchor1_idx"":181,""anchor2_idx"":189,""anchor1_price"":115.55,""anchor2_price"":116.98,""slope"":0.17875000000000085,""touch_count"":3}]",0.10285511615534472,-0.8015605603830501
9,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-05-31 17:25:00+00:00,2017-05-31 13:25:00-04:00,2017-06-02 17:25:00+00:00,2017-06-08 17:25:00+00:00,2017-06-02 13:25:00-04:00,2017-06-08 13:25:00-04:00,212,2017-06-02,2017-06-08,Friday,bounce,long,4,31,120.74,121.44,120.66977586206896,,216,224,215,120.74,4,1.0843582902743458,1.2066374377292222,,unknown,1.0,1.033652379970413,low,1.0,1.0,0.0702241379310351,0.0005816145265118031,0.005797581580255118,0.005797581580255118,9.96808249447577,9.96808249447577,safety_break,8,4.0,support,181,210,115.55,119.94,0.1513793103448276,0.0012589474167201983,120.24275862068966,120.84827586206896,4,support,181,210,115.55,119.94,0.1513793103448276,0.0012589474167201983,120.24275862068966,120.84827586206896,4,181,210,115.55,119.94,0.1513793103448276,4,0,"[{""start_idx"":216,""end_idx"":224,""kind"":""support"",""anchor1_idx"":181,""anchor2_idx"":210,""anchor1_price"":115.55,""anchor2_price"":119.94,""slope"":0.1513793103448276,""touch_count"":4}]",36.73950405106766,0.0
10,XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,1.0,200,1.5,1.0,5,1.1,1.5,1.0,2017-06-15 17:25:00+00:00,2017-06-15 13:25:00-04:00,2017-06-19 19:55:00+00:00,2017-06-23 17:25:00+00:00,2017-06-19 15:55:00-04:00,2017-06-23 13:25:00-04:00,234,2017-06-19,2017-06-23,Monday,break,short,4,39,118.43,119.39,121.24192307692307,,239,246,238,118.43,5,1.73538066616579,1.010001141836207,,unknown,1.0,0.9931190193773958,low,1.0,1.0,2.8119230769230654,0.023743334264317024,-0.00810605420923749,-0.00810605420923749,-0.34140336479277716,-0.34140336479277716,safety_break,7,3.5,support,195,228,118.55,120.26,0.05181818181818206,0.0004297735018246544,120.5709090909091,120.83000000000001,4,resistance,220,233,123.32,121.84,-0.11384615384615306,-0.0009352645281969551,121.72615384615385,121.15692307692308,2,233,244,121.84,119.205,-0.239545454545455,2,1,"[{""start_idx"":239,""end_idx"":245,""kind"":""resistance"",""anchor1_idx"":220,""anchor2_idx"":233,""anchor1_price"":123.32,""anchor2_price"":121.84,""slope"":-0.11384615384615306,""touch_count"":2},{""start_idx"":246,""end_idx"":246,""kind"":""resistance"",""anchor1_idx"":233,""anchor2_idx"":244,""anchor1_price"":121.84,""anchor2_price"":119.205,""slope"":-0.239545454545455,""touch_count"":2}]",0.1298044043222579,-0.4338667760908234
