month,trades,total_pnl_usd,win_rate_pct,scope,asset,buffer_pct,sizing_mode,pboc_filter,volume_filter,atr_filter,config_id
2022-01,99,-6316.516121132272,47.474747474747474,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-02,89,-16576.110665843735,33.70786516853933,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-03,99,1513.8993197013478,46.464646464646464,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-04,100,4385.300716930333,45.0,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-05,99,3056.9284956828405,51.515151515151516,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-06,97,-1174.742069590367,40.20618556701031,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-07,98,5078.398355920788,48.97959183673469,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-08,96,-13630.911128739364,38.54166666666667,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-09,101,-1716.3107638259178,46.53465346534654,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-10,103,-5891.203732534372,45.63106796116505,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-11,98,11979.685785423579,57.14285714285714,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2022-12,100,5768.010257970278,50.0,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2023-01,86,-6626.12213801146,41.86046511627907,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2023-02,86,8285.006691540573,53.48837209302325,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2023-03,96,4872.418920208769,53.125,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
2023-04,90,7681.205530773879,52.22222222222223,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0
