asset,trade_date,confirmation_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_distance,tp1_price,tp2_price,tp1_hit,tp2_hit,sl_hit,exit_reason,or_high,or_low,or_range,or_range_pct_of_entry,unit_pnl,r_multiple,or_mode,or_duration_bars,buffer_pct,pboc_filter,volume_filter,atr_filter,sizing_mode,qty,pnl_usd,equity_at_entry,strategy_mode,config_id,volume_threshold
XAU,2025-12-01,2025-12-01 01:09:59.999000+00:00,2025-12-01 01:10:00+00:00,2025-12-01 01:29:59.999000+00:00,short,4235.14,4245.17,4245.17,10.029999999999745,4227.740000000001,4221.820000000001,False,False,True,sl,4245.17,4237.77,7.399999999999636,0.17472858040111153,-10.029999999999745,-1.0,asia_5m,1,0,False,False,False,risk_1pct,99.70089730807831,-1000.0000000000001,100000.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
XAU,2025-12-01,2025-12-01 01:29:59.999000+00:00,2025-12-01 01:30:00+00:00,2025-12-01 03:59:59.999000+00:00,long,4249.41,4250.93,4231.97,17.4399999999996,4262.61,4273.169999999999,True,False,False,hard_exit,4245.17,4231.97,13.199999999999818,0.3106313582356096,7.360000000000127,0.4220183486238702,asia_15m,3,0,False,False,False,risk_1pct,56.76605504587286,417.7981651376315,99000.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
ETH,2025-12-01,2025-12-01 02:04:59.999000+00:00,2025-12-01 02:05:00+00:00,2025-12-01 02:39:59.999000+00:00,long,2868.97,2833.65,2833.65,35.31999999999971,2895.3199999999997,2916.3999999999996,False,False,True,sl,2860.0,2833.65,26.34999999999991,0.9184480841556345,-35.31999999999971,-1.0,asia_15m,3,0,False,False,False,risk_1pct,28.029445073612916,-990.0,99000.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
ETH,2025-12-01,2025-12-01 02:04:59.999000+00:00,2025-12-01 02:05:00+00:00,2025-12-01 02:39:59.999000+00:00,long,2868.97,2833.65,2833.65,35.31999999999971,2893.1499999999996,2912.4939999999997,False,False,True,sl,2857.83,2833.65,24.179999999999836,0.8428111831075207,-35.31999999999971,-1.0,asia_5m,1,0,False,False,False,risk_1pct,28.029445073612916,-990.0,99000.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
BTC,2025-12-01,2025-12-01 02:39:59.999000+00:00,2025-12-01 02:40:00+00:00,2025-12-01 03:59:59.999000+00:00,short,86678.0,86346.13,87697.95,1019.9499999999971,85921.45,85316.20999999999,False,False,False,hard_exit,87697.95,86941.4,756.5500000000029,0.8728281686241063,331.86999999999534,0.32537869503406663,asia_15m,3,0,False,False,False,risk_1pct,0.9512230991715308,315.6824099220515,97020.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
BTC,2025-12-01,2025-12-01 02:39:59.999000+00:00,2025-12-01 02:40:00+00:00,2025-12-01 03:59:59.999000+00:00,short,86678.0,86346.13,87580.0,902.0,86039.4,85528.51999999999,False,False,False,hard_exit,87580.0,86941.4,638.6000000000058,0.7367498096402845,331.86999999999534,0.3679268292682875,asia_5m,1,0,False,False,False,risk_1pct,1.075609756097561,356.96260975609255,97020.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
SOL,2025-12-01,2025-12-01 03:04:59.999000+00:00,2025-12-01 03:05:00+00:00,2025-12-01 03:59:59.999000+00:00,short,127.27,126.97,129.33,2.0600000000000165,125.39999999999998,123.90399999999997,False,False,False,hard_exit,129.33,127.46,1.8700000000000188,1.469317199654293,0.29999999999999716,0.1456310679611625,asia_15m,3,0,False,False,False,risk_1pct,470.970873786404,141.29126213591988,97020.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
SOL,2025-12-01,2025-12-01 03:04:59.999000+00:00,2025-12-01 03:05:00+00:00,2025-12-01 03:59:59.999000+00:00,short,127.27,126.97,128.71,1.440000000000012,126.01999999999998,125.01999999999997,False,False,False,hard_exit,128.71,127.46,1.2500000000000142,0.9821639035122293,0.29999999999999716,0.20833333333332962,asia_5m,1,0,False,False,False,risk_1pct,673.7499999999944,202.12499999999642,97020.0,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
BTC,2025-12-02,2025-12-02 01:09:59.999000+00:00,2025-12-02 01:10:00+00:00,2025-12-02 01:54:59.999000+00:00,long,86989.34,86449.16,86449.16,540.179999999993,87267.40999999999,87489.86599999998,False,False,True,sl,86727.23,86449.16,278.06999999999243,0.31965985717329554,-540.179999999993,-1.0,asia_5m,1,0,False,False,False,risk_1pct,1.8226120820273422,-984.538594469517,98453.8594469517,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
ETH,2025-12-02,2025-12-02 01:09:59.999000+00:00,2025-12-02 01:10:00+00:00,2025-12-02 01:54:59.999000+00:00,long,2812.64,2793.12,2793.12,19.519999999999982,2822.37,2830.154,False,False,True,sl,2802.85,2793.12,9.730000000000018,0.3459383355139662,-19.519999999999982,-1.0,asia_5m,1,0,False,False,False,risk_1pct,50.437427995364644,-984.538594469517,98453.8594469517,asia_combined_5m_15m,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,0.4
