day_of_week,trades,win_rate_pct,total_pnl_usd,avg_pnl_usd,scope,asset,buffer_pct,sizing_mode,pboc_filter,volume_filter,atr_filter,config_id,volume_threshold
Monday,817,51.774785801713584,57046.55836383921,69.82442884190846,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Tuesday,808,45.42079207920792,-14810.803960362651,-18.330202921240904,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Wednesday,818,45.72127139364303,-30097.98826562145,-36.79460668168881,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Thursday,812,47.783251231527096,-13142.467489492223,-16.185304790015053,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Friday,822,48.175182481751825,11330.592239074524,13.784175473326671,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Saturday,787,41.93138500635324,-64835.993760222584,-82.38372777664877,portfolio,ALL,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Monday,211,52.60663507109005,33617.71968666066,159.3256857187709,asset,BTC,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Tuesday,210,49.047619047619044,7601.6506931731865,36.19833663415803,asset,BTC,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Wednesday,206,48.54368932038835,-12809.162306671064,-62.18039954694691,asset,BTC,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Thursday,209,51.196172248803826,15417.115854545093,73.7661045672014,asset,BTC,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Friday,209,51.674641148325364,24732.830201955116,118.33890048782352,asset,BTC,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Saturday,205,45.85365853658537,-281.4267553557159,-1.3728134407595898,asset,BTC,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
Monday,206,52.42718446601942,31089.74943869122,150.92111378005447,asset,ETH,0,risk_1pct,False,False,False,buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
