month,trades,total_pnl_usd,win_rate_pct,scope,asset,strategy_mode,buffer_pct,sizing_mode,pboc_filter,volume_filter,atr_filter,config_id,volume_threshold
2022-01,199,-2241.657787625477,46.733668341708544,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-02,186,-3390.867869848928,43.54838709677419,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-03,208,7693.989380771043,49.03846153846153,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-04,203,14529.392678432065,50.73891625615764,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-05,202,13734.306190577656,48.51485148514851,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-06,200,52352.61191663593,59.0,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-07,203,13204.987151555843,50.73891625615764,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-08,199,-6974.465568984403,45.7286432160804,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-09,193,52425.093483148135,55.95854922279793,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-10,190,-18514.61290939906,45.26315789473684,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-11,199,-20117.2813566475,45.22613065326633,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2022-12,200,52696.07513164421,52.0,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
2023-01,192,-14368.91596233117,44.79166666666667,portfolio,ALL,asia_combined_5m_15m,0,risk_1pct,False,False,False,mode-asia_combined_5m_15m_buf0_size-risk_1pct_pboc-0_vol-0_atr-0,1.3
