trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,min_volume_norm,trend_ma_days,aligned_scale,counter_scale,volume_trend_lookback,volume_trend_threshold,high_volume_scale,low_volume_scale,setup_time_utc,setup_time_et,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,setup_bar_idx,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,confirmation_end_idx,entry_trigger_price,entry_wait_bars,confirmation_avg_volume_norm,entry_volume_norm,trend_ma_lag1,trend_state,ma_scale,volume_trend_lag1,volume_state,volume_scale,position_scale,initial_risk,risk_pct_of_entry,raw_return_pct,return_pct,raw_r_multiple,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_setup,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_setup,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2021-06-14 19:55:00+00:00,2021-06-14 15:55:00-04:00,2021-06-16 19:55:00+00:00,2021-06-17 17:25:00+00:00,2021-06-16 15:55:00-04:00,2021-06-17 13:25:00-04:00,109,2021-06-16,2021-06-17,Wednesday,bounce,long,4,29,69.33,68.845,68.84057692307692,,113,114,112,69.33,4,2.2922090863977553,0.34633376097897955,,unknown,1.0,1.2361834802027025,high,1.5,1.5,0.4894230769230745,0.00705932607706728,-0.006995528631184134,-0.0104932929467762,-0.9909626719057012,-1.4864440078585517,safety_break,1,0.5,support,80,106,67.895,68.64,0.028653846153846328,0.0004169289961525034,68.72596153846153,68.84057692307692,4,support,80,106,67.895,68.64,0.028653846153846328,0.0004169289961525034,68.72596153846153,68.84057692307692,4,80,106,67.895,68.64,0.028653846153846328,4,0,"[{""start_idx"":113,""end_idx"":114,""kind"":""support"",""anchor1_idx"":80,""anchor2_idx"":106,""anchor1_price"":67.895,""anchor2_price"":68.64,""slope"":0.028653846153846328,""touch_count"":4}]",0.0,-1.6141453831041175
2,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2021-06-29 19:55:00+00:00,2021-06-29 15:55:00-04:00,2021-06-30 19:55:00+00:00,2021-07-05 17:25:00+00:00,2021-06-30 15:55:00-04:00,2021-07-05 13:25:00-04:00,131,2021-06-30,2021-07-05,Wednesday,bounce,short,3,32,67.295,67.885,68.09481481481482,,133,138,132,67.295,2,3.1684614361385206,0.7988161711689052,,unknown,1.0,3.2204864977943233,high,1.5,1.5,0.7998148148148232,0.011885204172892832,-0.008767367560740036,-0.013151051341110054,-0.7376707571197002,-1.1065061356795503,safety_break,5,2.5,resistance,99,126,69.82,68.45,-0.050740740740740385,-0.0007440395372834358,68.1962962962963,68.09481481481482,3,resistance,99,126,69.82,68.45,-0.050740740740740385,-0.0007440395372834358,68.1962962962963,68.09481481481482,3,99,126,69.82,68.45,-0.050740740740740385,3,0,"[{""start_idx"":133,""end_idx"":138,""kind"":""resistance"",""anchor1_idx"":99,""anchor2_idx"":126,""anchor1_price"":69.82,""anchor2_price"":68.45,""slope"":-0.050740740740740385,""touch_count"":3}]",0.19379485992127746,-0.7376707571197002
3,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2021-08-05 19:55:00+00:00,2021-08-05 15:55:00-04:00,2021-08-06 19:55:00+00:00,2021-08-11 17:25:00+00:00,2021-08-06 15:55:00-04:00,2021-08-11 13:25:00-04:00,185,2021-08-06,2021-08-11,Friday,bounce,short,4,33,67.69,68.66,67.94515625,,187,192,186,67.69,2,1.204101243716973,0.1420819370878824,,unknown,1.0,0.9858836842867215,low,1.0,1.0,0.25515624999999886,0.003769482198256742,-0.014330033978431134,-0.014330033978431134,-3.8015921616656585,-3.8015921616656585,safety_break,5,2.5,resistance,152,184,68.935,68.03,-0.028281250000000036,-0.00041589022336292107,68.00171875,67.94515625,4,resistance,152,184,68.935,68.03,-0.028281250000000036,-0.00041589022336292107,68.00171875,67.94515625,4,152,184,68.935,68.03,-0.028281250000000036,4,0,"[{""start_idx"":187,""end_idx"":192,""kind"":""resistance"",""anchor1_idx"":152,""anchor2_idx"":184,""anchor1_price"":68.935,""anchor2_price"":68.03,""slope"":-0.028281250000000036,""touch_count"":4}]",0.48989589712186377,-3.8799755052051967
4,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2021-11-01 17:25:00+00:00,2021-11-01 13:25:00-04:00,2021-11-03 19:55:00+00:00,2021-11-22 20:55:00+00:00,2021-11-03 15:55:00-04:00,2021-11-22 15:55:00-05:00,308,2021-11-03,2021-11-22,Wednesday,break,long,6,41,69.515,69.565,68.0828947368421,,313,339,310,69.515,5,1.2905540889087956,1.3080746187363832,,unknown,1.0,1.148190004916875,high,1.5,1.5,1.4321052631578937,0.020601384782534614,0.0007192692224700092,0.0010789038337050139,0.03491363469312557,0.052370452039688355,safety_break,26,13.0,resistance,267,304,70.11,68.635,-0.039864864864864714,-0.0005821767093793579,68.47554054054055,68.27621621621623,6,support,268,306,67.55,68.0,0.01184210526315797,0.00017408797245541525,68.02368421052631,68.0828947368421,6,303,332,67.94,69.295,0.04672413793103462,3,2,"[{""start_idx"":313,""end_idx"":324,""kind"":""support"",""anchor1_idx"":268,""anchor2_idx"":306,""anchor1_price"":67.55,""anchor2_price"":68.0,""slope"":0.01184210526315797,""touch_count"":6},{""start_idx"":325,""end_idx"":333,""kind"":""support"",""anchor1_idx"":303,""anchor2_idx"":323,""anchor1_price"":67.94,""anchor2_price"":68.575,""slope"":0.03175000000000026,""touch_count"":3},{""start_idx"":334,""end_idx"":339,""kind"":""support"",""anchor1_idx"":303,""anchor2_idx"":332,""anchor1_price"":67.94,""anchor2_price"":69.295,""slope"":0.04672413793103462,""touch_count"":3}]",0.6074972436604226,-0.6563763322307964
5,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2021-12-16 18:25:00+00:00,2021-12-16 13:25:00-05:00,2021-12-17 18:25:00+00:00,2022-01-04 18:25:00+00:00,2021-12-17 13:25:00-05:00,2022-01-04 13:25:00-05:00,374,2021-12-17,2022-01-04,Friday,bounce,short,4,38,67.935,67.925,68.349,,376,400,375,67.935,2,1.300387593283837,1.8319425170382704,,unknown,1.0,1.1649968620571027,high,1.5,1.5,0.4140000000000015,0.006094060499006425,0.0001471995289615835,0.00022079929344237526,0.024154589371992947,0.036231884057989425,safety_break,24,12.0,resistance,336,361,70.085,69.0,-0.04339999999999975,-0.0006341710040651202,68.4358,68.349,4,resistance,336,361,70.085,69.0,-0.04339999999999975,-0.0006341710040651202,68.4358,68.349,4,336,361,70.085,69.0,-0.04339999999999975,4,0,"[{""start_idx"":376,""end_idx"":400,""kind"":""resistance"",""anchor1_idx"":336,""anchor2_idx"":361,""anchor1_price"":70.085,""anchor2_price"":69.0,""slope"":-0.04339999999999975,""touch_count"":4}]",4.057971014492756,-0.12077294685989609
6,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2022-02-10 20:55:00+00:00,2022-02-10 15:55:00-05:00,2022-02-11 20:55:00+00:00,2022-02-16 20:55:00+00:00,2022-02-11 15:55:00-05:00,2022-02-16 15:55:00-05:00,455,2022-02-11,2022-02-16,Friday,break,short,3,15,64.395,64.69,66.39958333333334,,457,463,456,64.395,2,1.2907360849851193,2.746174914320949,68.1949,aligned,1.5,0.907570234418562,low,1.0,1.5,2.0045833333333434,0.03112948727903321,-0.004581101017159694,-0.006871651525739542,-0.1471627520266058,-0.22074412803990873,safety_break,6,3.0,support,440,450,63.47,64.225,0.07549999999999954,0.0011686854223907674,64.60249999999999,64.75349999999999,3,resistance,402,414,68.485,68.03,-0.03791666666666652,-0.0005703862956857463,66.47541666666667,66.39958333333334,2,414,461,68.03,64.745,-0.06989361702127653,2,1,"[{""start_idx"":457,""end_idx"":462,""kind"":""resistance"",""anchor1_idx"":402,""anchor2_idx"":414,""anchor1_price"":68.485,""anchor2_price"":68.03,""slope"":-0.03791666666666652,""touch_count"":2},{""start_idx"":463,""end_idx"":463,""kind"":""resistance"",""anchor1_idx"":414,""anchor2_idx"":461,""anchor1_price"":68.03,""anchor2_price"":64.745,""slope"":-0.06989361702127653,""touch_count"":2}]",0.36665973810018493,-0.21450841820827504
7,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2022-02-22 20:55:00+00:00,2022-02-22 15:55:00-05:00,2022-02-23 20:55:00+00:00,2022-02-25 18:25:00+00:00,2022-02-23 15:55:00-05:00,2022-02-25 13:25:00-05:00,471,2022-02-23,2022-02-25,Wednesday,bounce,short,3,18,62.71,63.185,63.27882352941177,,473,476,472,62.71,2,1.8426694108112527,3.0881107885824868,68.06255,aligned,1.5,1.322504812389154,high,1.5,2.25,0.5688235294117661,0.009070698922209632,-0.007574549513634121,-0.017042736405676773,-0.8350568769389871,-1.878877973112721,safety_break,3,1.5,resistance,453,470,65.52,63.615,-0.11205882352941142,-0.0017646241489509462,63.50294117647059,63.27882352941177,3,resistance,453,470,65.52,63.615,-0.11205882352941142,-0.0017646241489509462,63.50294117647059,63.27882352941177,3,453,470,65.52,63.615,-0.11205882352941142,3,0,"[{""start_idx"":473,""end_idx"":476,""kind"":""resistance"",""anchor1_idx"":453,""anchor2_idx"":470,""anchor1_price"":65.52,""anchor2_price"":63.615,""slope"":-0.11205882352941142,""touch_count"":3}]",3.305067218200617,-0.9844881075491226
8,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2022-02-28 20:55:00+00:00,2022-02-28 15:55:00-05:00,2022-03-01 20:55:00+00:00,2022-03-17 17:25:00+00:00,2022-03-01 15:55:00-05:00,2022-03-17 13:25:00-04:00,479,2022-03-01,2022-03-17,Tuesday,bounce,short,4,26,62.005,61.405,63.233333333333334,,481,504,480,62.005,2,1.5117765871031072,1.2912583300666405,67.96475000000001,aligned,1.5,1.5660866860871905,high,1.5,2.25,1.2283333333333317,0.01981023035776682,0.009676638980727348,0.021772437706636533,0.4884667571234753,1.0990502035278196,safety_break,23,11.5,resistance,453,477,65.52,63.56,-0.0816666666666664,-0.0012881854987118102,63.39666666666667,63.233333333333334,4,resistance,453,477,65.52,63.56,-0.0816666666666664,-0.0012881854987118102,63.39666666666667,63.233333333333334,4,453,477,65.52,63.56,-0.0816666666666664,4,0,"[{""start_idx"":481,""end_idx"":504,""kind"":""resistance"",""anchor1_idx"":453,""anchor2_idx"":477,""anchor1_price"":65.52,""anchor2_price"":63.56,""slope"":-0.0816666666666664,""touch_count"":4}]",3.3337856173677163,-0.2849389416553553
9,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2022-03-30 17:25:00+00:00,2022-03-30 13:25:00-04:00,2022-03-31 17:25:00+00:00,2022-04-04 19:55:00+00:00,2022-03-31 13:25:00-04:00,2022-04-04 15:55:00-04:00,522,2022-03-31,2022-04-04,Thursday,bounce,short,3,59,62.085,62.435,62.52311320754717,,524,529,523,62.085,2,1.8567137668325961,0.7824976045991695,67.140275,aligned,1.5,1.0827881084259157,high,1.5,2.25,0.4381132075471683,0.007056667593576038,-0.005637432552146215,-0.012684223242328985,-0.7988802756244676,-1.7974806201550522,safety_break,5,2.5,resistance,463,516,64.825,62.825,-0.03773584905660377,-0.0006028227173741042,62.59858490566038,62.52311320754717,3,resistance,463,516,64.825,62.825,-0.03773584905660377,-0.0006028227173741042,62.59858490566038,62.52311320754717,3,463,516,64.825,62.825,-0.03773584905660377,3,0,"[{""start_idx"":524,""end_idx"":529,""kind"":""resistance"",""anchor1_idx"":463,""anchor2_idx"":516,""anchor1_price"":64.825,""anchor2_price"":62.825,""slope"":-0.03773584905660377,""touch_count"":3}]",1.2667958656330787,-0.935831180017222
10,EWJ,240,12,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,1.2,200,1.5,1.0,5,1.0,1.5,1.0,2022-04-21 17:25:00+00:00,2022-04-21 13:25:00-04:00,2022-04-25 17:25:00+00:00,2022-04-29 17:25:00+00:00,2022-04-25 13:25:00-04:00,2022-04-29 13:25:00-04:00,554,2022-04-25,2022-04-29,Monday,bounce,short,4,21,56.845,57.29,57.91657894736842,,558,566,557,56.845,4,1.2081931130918178,0.7987532741187316,66.39395,aligned,1.5,1.1189052665976338,high,1.5,2.25,1.0715789473684225,0.01885089185272975,-0.007828305040021188,-0.017613686340047674,-0.41527504911591323,-0.9343688605108048,safety_break,8,4.0,resistance,533,552,60.16,58.455,-0.08973684210526307,-0.0015398718429240391,58.27552631578947,57.91657894736842,4,resistance,533,552,60.16,58.455,-0.08973684210526307,-0.0015398718429240391,58.27552631578947,57.91657894736842,4,533,552,60.16,58.455,-0.08973684210526307,4,0,"[{""start_idx"":558,""end_idx"":566,""kind"":""resistance"",""anchor1_idx"":533,""anchor2_idx"":552,""anchor1_price"":60.16,""anchor2_price"":58.455,""slope"":-0.08973684210526307,""touch_count"":4}]",0.7558939096267201,-1.0265225933202358
