trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,min_volume_norm,trend_ma_days,aligned_scale,counter_scale,volume_trend_lookback,volume_trend_threshold,high_volume_scale,low_volume_scale,setup_time_utc,setup_time_et,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,setup_bar_idx,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,confirmation_end_idx,entry_trigger_price,entry_wait_bars,confirmation_avg_volume_norm,entry_volume_norm,trend_ma_lag1,trend_state,ma_scale,volume_trend_lag1,volume_state,volume_scale,position_scale,initial_risk,risk_pct_of_entry,raw_return_pct,return_pct,raw_r_multiple,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_setup,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_setup,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-04-07 17:25:00+00:00,2021-04-07 13:25:00-04:00,2021-04-08 17:25:00+00:00,2021-04-09 17:25:00+00:00,2021-04-08 13:25:00-04:00,2021-04-09 13:25:00-04:00,12,2021-04-08,2021-04-09,Thursday,bounce,long,3,11,314.23,312.11,308.3755,,14,16,13,314.23,2,0.9379553132524503,1.255056440133735,,unknown,1.0,0.8256090504958579,low,1.0,1.0,5.85450000000003,0.018631257359259235,-0.006746650542596155,-0.006746650542596155,-0.36211461269109124,-0.36211461269109124,safety_break,2,1.0,support,1,11,286.71,305.25,1.854000000000002,0.006037042825883096,307.104,310.812,3,support,1,11,286.71,305.25,1.854000000000002,0.006037042825883096,307.104,310.812,3,1,11,286.71,305.25,1.854000000000002,3,0,"[{""start_idx"":14,""end_idx"":16,""kind"":""support"",""anchor1_idx"":1,""anchor2_idx"":11,""anchor1_price"":286.71,""anchor2_price"":305.25,""slope"":1.854000000000002,""touch_count"":3}]",0.08540438978563454,-0.6097873430694295
2,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-04-26 19:55:00+00:00,2021-04-26 15:55:00-04:00,2021-04-27 19:55:00+00:00,2021-06-01 19:55:00+00:00,2021-04-27 15:55:00-04:00,2021-06-01 15:55:00-04:00,39,2021-04-27,2021-06-01,Tuesday,break,long,6,25,305.27,328.98,295.48670000000004,,41,91,40,305.27,2,0.9531403771063097,1.0861258639505273,,unknown,1.0,2.2519656572986135,high,1.5,1.5,9.78329999999994,0.03204802306155188,0.07766894879942354,0.11650342319913531,2.4235176269766012,3.635276440464902,safety_break,50,25.0,resistance,14,28,315.85,307.5,-0.5964285714285731,-0.0019818900347720885,300.9392857142857,299.74642857142857,6,support,7,32,298.7,297.42,-0.051199999999998906,-0.0001723548247232187,297.0616,296.9592,4,82,87,325.9,328.33,0.4860000000000014,3,4,"[{""start_idx"":41,""end_idx"":63,""kind"":""support"",""anchor1_idx"":7,""anchor2_idx"":32,""anchor1_price"":298.7,""anchor2_price"":297.42,""slope"":-0.051199999999998906,""touch_count"":4},{""start_idx"":64,""end_idx"":73,""kind"":""support"",""anchor1_idx"":30,""anchor2_idx"":62,""anchor1_price"":297.24,""anchor2_price"":298.235,""slope"":0.031093750000000142,""touch_count"":5},{""start_idx"":74,""end_idx"":78,""kind"":""support"",""anchor1_idx"":35,""anchor2_idx"":65,""anchor1_price"":296.035,""anchor2_price"":302.79,""slope"":0.22516666666666652,""touch_count"":4},{""start_idx"":79,""end_idx"":88,""kind"":""support"",""anchor1_idx"":60,""anchor2_idx"":72,""anchor1_price"":299.77,""anchor2_price"":303.76,""slope"":0.33250000000000074,""touch_count"":4},{""start_idx"":89,""end_idx"":91,""kind"":""support"",""anchor1_idx"":82,""anchor2_idx"":87,""anchor1_price"":325.9,""anchor2_price"":328.33,""slope"":0.4860000000000014,""touch_count"":3}]",2.9131274723253067,-0.7190825181687173
3,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-06-04 17:25:00+00:00,2021-06-04 13:25:00-04:00,2021-06-08 17:25:00+00:00,2021-06-16 17:25:00+00:00,2021-06-08 13:25:00-04:00,2021-06-16 13:25:00-04:00,96,2021-06-08,2021-06-16,Tuesday,bounce,long,3,36,337.72,332.805,325.12361764705884,,100,112,99,337.72,4,1.3205605280268045,0.9801853080606606,,unknown,1.0,0.9477413287189783,low,1.0,1.0,12.596382352941191,0.03729830141223851,-0.014553476252516906,-0.014553476252516906,-0.39019139482157694,-0.39019139482157694,safety_break,12,6.0,support,60,94,299.77,323.48,0.6973529411764716,0.0021465288880600153,324.87470588235294,327.66411764705884,3,support,60,94,299.77,323.48,0.6973529411764716,0.0021465288880600153,324.87470588235294,327.66411764705884,3,60,94,299.77,323.48,0.6973529411764716,3,0,"[{""start_idx"":100,""end_idx"":112,""kind"":""support"",""anchor1_idx"":60,""anchor2_idx"":94,""anchor1_price"":299.77,""anchor2_price"":323.48,""slope"":0.6973529411764716,""touch_count"":3}]",0.1722716839802243,-0.7267959755018379
4,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-06-17 17:25:00+00:00,2021-06-17 13:25:00-04:00,2021-06-22 17:25:00+00:00,2021-09-22 17:25:00+00:00,2021-06-22 13:25:00-04:00,2021-09-22 13:25:00-04:00,114,2021-06-22,2021-09-22,Tuesday,bounce,long,6,24,332.91,343.34,329.03925,,120,252,119,332.91,6,0.8431420719284886,0.7947743663713168,,unknown,1.0,1.100748643039388,high,1.5,1.5,3.8707500000000437,0.011627016310714737,0.03132978883181625,0.04699468324772438,2.6945682361299057,4.041852354194859,safety_break,132,66.0,support,90,106,326.62,328.95,0.145624999999999,0.0004411341502203747,330.115,330.98875,6,support,90,106,326.62,328.95,0.145624999999999,0.0004411341502203747,330.115,330.98875,6,90,106,326.62,328.95,0.145624999999999,6,0,"[{""start_idx"":120,""end_idx"":252,""kind"":""support"",""anchor1_idx"":90,""anchor2_idx"":106,""anchor1_price"":326.62,""anchor2_price"":328.95,""slope"":0.145624999999999,""touch_count"":6}]",13.276496802945012,0.0
5,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-09-28 17:25:00+00:00,2021-09-28 13:25:00-04:00,2021-09-29 19:55:00+00:00,2021-10-01 19:55:00+00:00,2021-09-29 15:55:00-04:00,2021-10-01 15:55:00-04:00,260,2021-09-29,2021-10-01,Wednesday,bounce,short,3,24,338.92,342.51,348.953,,263,267,261,338.92,3,1.9373717827112782,0.8623154236789237,,unknown,1.0,1.4448780384274846,high,1.5,1.5,10.032999999999959,0.029602856131240286,-0.010592470199457082,-0.015888705299185624,-0.3578191966510505,-0.5367287949765758,safety_break,4,2.0,resistance,236,257,383.77,354.335,-1.4016666666666668,-0.004003274974057255,350.13,345.92499999999995,3,resistance,236,257,383.77,354.335,-1.4016666666666668,-0.004003274974057255,350.13,345.92499999999995,3,236,257,383.77,354.335,-1.4016666666666668,3,0,"[{""start_idx"":263,""end_idx"":267,""kind"":""resistance"",""anchor1_idx"":236,""anchor2_idx"":257,""anchor1_price"":383.77,""anchor2_price"":354.335,""slope"":-1.4016666666666668,""touch_count"":3}]",0.07076647064686926,-0.6030100667796309
6,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-10-07 17:25:00+00:00,2021-10-07 13:25:00-04:00,2021-10-08 17:25:00+00:00,2021-10-14 17:25:00+00:00,2021-10-08 13:25:00-04:00,2021-10-14 13:25:00-04:00,274,2021-10-08,2021-10-14,Friday,bounce,short,5,38,328.99,327.82,336.6668043478261,,276,284,275,328.99,2,3.565860051435352,1.030185977431819,,unknown,1.0,2.1599107774492916,high,1.5,1.5,7.676804347826078,0.023334461071236445,0.0035563390984528764,0.005334508647679315,0.15240716670489815,0.2286107500573472,safety_break,8,4.0,resistance,236,259,383.77,355.13,-1.2452173913043472,-0.003701028250062349,336.4517391304348,333.9613043478261,5,resistance,236,259,383.77,355.13,-1.2452173913043472,-0.003701028250062349,336.4517391304348,333.9613043478261,5,236,259,383.77,355.13,-1.2452173913043472,5,0,"[{""start_idx"":276,""end_idx"":284,""kind"":""resistance"",""anchor1_idx"":236,""anchor2_idx"":259,""anchor1_price"":383.77,""anchor2_price"":355.13,""slope"":-1.2452173913043472,""touch_count"":5}]",1.5097427881279917,-0.4311689929856464
7,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-10-19 19:55:00+00:00,2021-10-19 15:55:00-04:00,2021-10-21 17:25:00+00:00,2021-11-04 19:55:00+00:00,2021-10-21 13:25:00-04:00,2021-11-04 15:55:00-04:00,291,2021-10-21,2021-11-04,Thursday,bounce,short,3,34,339.0,335.96,342.9123333333333,,294,315,292,339.0,3,0.6885542960662138,0.5036497695003614,,unknown,1.0,0.7247031698544891,low,1.0,1.0,3.912333333333322,0.01154080629301865,0.008967551622418912,0.008967551622418912,0.7770299054272887,0.7770299054272887,safety_break,21,10.5,resistance,257,290,354.335,342.4,-0.36166666666666675,-0.0010573863553305432,342.0383333333333,340.9533333333333,3,resistance,257,290,354.335,342.4,-0.36166666666666675,-0.0010573863553305432,342.0383333333333,340.9533333333333,3,257,290,354.335,342.4,-0.36166666666666675,3,0,"[{""start_idx"":294,""end_idx"":315,""kind"":""resistance"",""anchor1_idx"":257,""anchor2_idx"":290,""anchor1_price"":354.335,""anchor2_price"":342.4,""slope"":-0.36166666666666675,""touch_count"":3}]",7.88787594785723,-0.7949220414075204
8,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-11-26 20:55:00+00:00,2021-11-26 15:55:00-05:00,2021-11-29 20:55:00+00:00,2021-11-30 18:25:00+00:00,2021-11-29 15:55:00-05:00,2021-11-30 13:25:00-05:00,347,2021-11-29,2021-11-30,Monday,bounce,long,6,35,339.325,326.455,332.11703846153847,,349,350,348,339.325,2,0.36250654331102916,0.9379705299303631,,unknown,1.0,0.28365648801786786,low,1.0,1.0,7.207961538461518,0.021242058611836787,-0.03792823988801297,-0.03792823988801297,-1.7855256207078767,-1.7855256207078767,safety_break,1,0.5,support,312,325,323.24,327.0,0.2892307692307685,0.0008676148897482972,333.3630769230769,333.94153846153847,6,support,312,325,323.24,327.0,0.2892307692307685,0.0008676148897482972,333.3630769230769,333.94153846153847,6,312,325,323.24,327.0,0.2892307692307685,6,0,"[{""start_idx"":349,""end_idx"":350,""kind"":""support"",""anchor1_idx"":312,""anchor2_idx"":325,""anchor1_price"":323.24,""anchor2_price"":327.0,""slope"":0.2892307692307685,""touch_count"":6}]",0.0,-1.8611364570160134
9,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-12-16 18:25:00+00:00,2021-12-16 13:25:00-05:00,2021-12-17 18:25:00+00:00,2021-12-27 18:25:00+00:00,2021-12-17 13:25:00-05:00,2021-12-27 13:25:00-05:00,374,2021-12-17,2021-12-27,Friday,bounce,short,5,31,333.81,346.695,339.8474999999999,,376,388,375,333.81,2,1.4258049388115595,1.2037741762499479,,unknown,1.0,1.294542073477072,high,1.5,1.5,6.037499999999909,0.01808663611036191,-0.03859980228273563,-0.057899703424103444,-2.1341614906832604,-3.201242236024891,safety_break,12,6.0,resistance,343,349,341.705,340.65,-0.17583333333333448,-0.000522917931624147,336.2541666666666,335.9024999999999,5,resistance,343,349,341.705,340.65,-0.17583333333333448,-0.000522917931624147,336.2541666666666,335.9024999999999,5,343,349,341.705,340.65,-0.17583333333333448,5,0,"[{""start_idx"":376,""end_idx"":388,""kind"":""resistance"",""anchor1_idx"":343,""anchor2_idx"":349,""anchor1_price"":341.705,""anchor2_price"":340.65,""slope"":-0.17583333333333448,""touch_count"":5}]",1.8600414078675258,-2.323809523809554
10,META,240,12,3,0.0004,0.5,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2021-12-29 20:55:00+00:00,2021-12-29 15:55:00-05:00,2021-12-30 20:55:00+00:00,2021-12-31 18:25:00+00:00,2021-12-30 15:55:00-05:00,2021-12-31 13:25:00-05:00,393,2021-12-30,2021-12-31,Thursday,bounce,long,4,37,346.49,340.465,342.5658870967742,,395,396,394,346.49,2,0.49100009689041363,0.5273133198007843,,unknown,1.0,0.6430376760186344,low,1.0,1.0,3.9241129032258186,0.01132532801300418,-0.017388669225663178,-0.017388669225663178,-1.5353788610534576,-1.5353788610534576,safety_break,1,0.5,support,356,387,299.48,335.24,1.153548387096774,0.0033713585368153097,342.16129032258067,344.4683870967742,4,support,356,387,299.48,335.24,1.153548387096774,0.0033713585368153097,342.16129032258067,344.4683870967742,4,356,387,299.48,335.24,1.153548387096774,4,0,"[{""start_idx"":395,""end_idx"":396,""kind"":""support"",""anchor1_idx"":356,""anchor2_idx"":387,""anchor1_price"":299.48,""anchor2_price"":335.24,""slope"":1.153548387096774,""touch_count"":4}]",0.0,-1.7507141535995354
