trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,min_volume_norm,trend_ma_days,aligned_scale,counter_scale,volume_trend_lookback,volume_trend_threshold,high_volume_scale,low_volume_scale,setup_time_utc,setup_time_et,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,setup_bar_idx,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,confirmation_end_idx,entry_trigger_price,entry_wait_bars,confirmation_avg_volume_norm,entry_volume_norm,trend_ma_lag1,trend_state,ma_scale,volume_trend_lag1,volume_state,volume_scale,position_scale,initial_risk,risk_pct_of_entry,raw_return_pct,return_pct,raw_r_multiple,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_setup,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_setup,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-07-29 19:55:00+00:00,2022-07-29 15:55:00-04:00,2022-08-02 17:25:00+00:00,2022-08-08 17:25:00+00:00,2022-08-02 13:25:00-04:00,2022-08-08 13:25:00-04:00,42,2022-08-02,2022-08-08,Tuesday,bounce,long,4,21,10.705,10.04,10.052,,45,53,43,10.705,3,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.6530000000000005,0.06099953292853811,-0.06212050443717898,-0.09318075665576847,-1.018376722817765,-1.5275650842266475,safety_break,8,4.0,support,21,41,8.65,9.91,0.06299999999999999,0.006317056051338613,9.973,10.161999999999999,4,support,21,41,8.65,9.91,0.06299999999999999,0.006317056051338613,9.973,10.161999999999999,4,21,41,8.65,9.91,0.06299999999999999,4,0,"[{""start_idx"":45,""end_idx"":53,""kind"":""support"",""anchor1_idx"":21,""anchor2_idx"":41,""anchor1_price"":8.65,""anchor2_price"":9.91,""slope"":0.06299999999999999,""touch_count"":4}]",1.4088820826952515,-1.5237366003062764
2,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-09-06 17:25:00+00:00,2022-09-06 13:25:00-04:00,2022-09-07 17:25:00+00:00,2022-09-07 19:55:00+00:00,2022-09-07 13:25:00-04:00,2022-09-07 15:55:00-04:00,95,2022-09-07,2022-09-07,Wednesday,bounce,short,4,36,7.175,7.38,7.289535714285715,,97,98,96,7.175,2,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.11453571428571507,0.01596316575410663,-0.028571428571428692,-0.04285714285714304,-1.7898347365138643,-2.6847521047707965,safety_break,1,0.5,resistance,59,87,10.055,7.995,-0.07357142857142855,-0.009933455492332911,7.406428571428572,7.259285714285715,4,resistance,59,87,10.055,7.995,-0.07357142857142855,-0.009933455492332911,7.406428571428572,7.259285714285715,4,59,87,10.055,7.995,-0.07357142857142855,4,0,"[{""start_idx"":97,""end_idx"":98,""kind"":""resistance"",""anchor1_idx"":59,""anchor2_idx"":87,""anchor1_price"":10.055,""anchor2_price"":7.995,""slope"":-0.07357142857142855,""touch_count"":4}]",0.0,-2.182725288431541
3,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-09-19 17:25:00+00:00,2022-09-19 13:25:00-04:00,2022-09-20 17:25:00+00:00,2022-09-22 17:25:00+00:00,2022-09-20 13:25:00-04:00,2022-09-22 13:25:00-04:00,113,2022-09-20,2022-09-22,Tuesday,bounce,long,4,18,7.86,7.295,7.522,,115,119,114,7.86,2,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.3380000000000001,0.043002544529262096,-0.0718829516539441,-0.10782442748091614,-1.6715976331360956,-2.507396449704143,safety_break,4,2.0,support,95,109,7.175,7.455,0.020000000000000018,0.0026542800265428024,7.535,7.575,4,support,95,109,7.175,7.455,0.020000000000000018,0.0026542800265428024,7.535,7.575,4,95,109,7.175,7.455,0.020000000000000018,4,0,"[{""start_idx"":115,""end_idx"":119,""kind"":""support"",""anchor1_idx"":95,""anchor2_idx"":109,""anchor1_price"":7.175,""anchor2_price"":7.455,""slope"":0.020000000000000018,""touch_count"":4}]",0.6360946745562098,-1.8195266272189352
4,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-09-27 19:55:00+00:00,2022-09-27 15:55:00-04:00,2022-09-29 17:25:00+00:00,2022-10-14 19:55:00+00:00,2022-09-29 13:25:00-04:00,2022-10-14 15:55:00-04:00,126,2022-09-29,2022-10-14,Thursday,bounce,long,3,19,8.005,7.535,7.404138888888889,,129,152,127,8.005,3,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.6008611111111115,0.07506072593517944,-0.05871330418488452,-0.08806995627732678,-0.7822107161018913,-1.173316074152837,safety_break,23,11.5,support,107,125,7.325,7.455,0.007222222222222217,0.000967837998808814,7.4622222222222225,7.483888888888889,3,support,107,125,7.325,7.455,0.007222222222222217,0.000967837998808814,7.4622222222222225,7.483888888888889,3,107,125,7.325,7.455,0.007222222222222217,3,0,"[{""start_idx"":129,""end_idx"":152,""kind"":""support"",""anchor1_idx"":107,""anchor2_idx"":125,""anchor1_price"":7.325,""anchor2_price"":7.455,""slope"":0.007222222222222217,""touch_count"":3}]",0.9985668716194338,-0.7905321066987198
5,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-10-18 17:25:00+00:00,2022-10-18 13:25:00-04:00,2022-10-19 17:25:00+00:00,2022-10-21 19:55:00+00:00,2022-10-19 13:25:00-04:00,2022-10-21 15:55:00-04:00,155,2022-10-19,2022-10-21,Wednesday,bounce,short,3,24,8.035,8.29,8.319749999999999,,157,162,156,8.035,2,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.28474999999999895,0.035438705662725445,-0.03173615432482868,-0.04760423148724302,-0.8955223880597013,-1.343283582089552,safety_break,5,2.5,resistance,131,151,8.495,8.305,-0.009499999999999975,-0.0011491472118059726,8.267,8.248,3,resistance,131,151,8.495,8.305,-0.009499999999999975,-0.0011491472118059726,8.267,8.248,3,131,151,8.495,8.305,-0.009499999999999975,3,0,"[{""start_idx"":157,""end_idx"":162,""kind"":""resistance"",""anchor1_idx"":131,""anchor2_idx"":151,""anchor1_price"":8.495,""anchor2_price"":8.305,""slope"":-0.009499999999999975,""touch_count"":3}]",0.9657594381036044,-0.9833187006145756
6,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-11-01 17:25:00+00:00,2022-11-01 13:25:00-04:00,2022-11-03 17:25:00+00:00,2022-11-09 20:55:00+00:00,2022-11-03 13:25:00-04:00,2022-11-09 15:55:00-05:00,175,2022-11-03,2022-11-09,Thursday,break,short,4,16,8.205,6.985,8.712,,179,188,178,8.205,4,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.5069999999999997,0.061791590493601424,0.14868982327848868,0.223034734917733,2.406311637080869,3.6094674556213038,safety_break,9,4.5,support,159,163,7.76,8.015,0.0637500000000002,0.007260820045558106,8.780000000000003,9.035000000000004,4,resistance,167,173,9.045,8.83,-0.03583333333333331,-0.0040913415794481415,8.758333333333333,8.615,2,178,185,8.76,7.42,-0.19142857142857142,3,2,"[{""start_idx"":179,""end_idx"":182,""kind"":""resistance"",""anchor1_idx"":167,""anchor2_idx"":173,""anchor1_price"":9.045,""anchor2_price"":8.83,""slope"":-0.03583333333333331,""touch_count"":2},{""start_idx"":183,""end_idx"":186,""kind"":""resistance"",""anchor1_idx"":175,""anchor2_idx"":181,""anchor1_price"":9.055,""anchor2_price"":8.25,""slope"":-0.13416666666666663,""touch_count"":3},{""start_idx"":187,""end_idx"":188,""kind"":""resistance"",""anchor1_idx"":178,""anchor2_idx"":185,""anchor1_price"":8.76,""anchor2_price"":7.42,""slope"":-0.19142857142857142,""touch_count"":3}]",2.5936883629191345,-0.08875739644970405
7,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2022-11-14 20:55:00+00:00,2022-11-14 15:55:00-05:00,2022-11-16 18:25:00+00:00,2022-12-13 18:25:00+00:00,2022-11-16 13:25:00-05:00,2022-12-13 13:25:00-05:00,194,2022-11-16,2022-12-13,Wednesday,bounce,short,3,21,8.08,7.675,8.383539473684209,,197,235,195,8.08,3,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.30353947368420897,0.03756676654507537,0.05012376237623761,0.07518564356435642,1.334258095279387,2.0013871429190804,safety_break,38,19.0,resistance,173,192,8.83,8.415,-0.021842105263157944,-0.002609160353336902,8.371315789473684,8.305789473684209,3,resistance,173,192,8.83,8.415,-0.021842105263157944,-0.002609160353336902,8.371315789473684,8.305789473684209,3,173,192,8.83,8.415,-0.021842105263157944,3,0,"[{""start_idx"":197,""end_idx"":235,""kind"":""resistance"",""anchor1_idx"":173,""anchor2_idx"":192,""anchor1_price"":8.83,""anchor2_price"":8.415,""slope"":-0.021842105263157944,""touch_count"":3}]",3.936884997182387,-0.362391087606745
8,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2024-07-11 19:55:00+00:00,2024-07-11 15:55:00-04:00,2024-07-12 19:55:00+00:00,2024-07-24 17:25:00+00:00,2024-07-12 15:55:00-04:00,2024-07-24 13:25:00-04:00,271,2024-07-12,2024-07-24,Friday,bounce,long,3,13,28.095,27.105,26.998249999999995,,273,288,272,28.095,2,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,1.0967500000000037,0.03903719523046819,-0.03523758675920974,-0.05285638013881461,-0.9026669705949352,-1.3540004558924028,safety_break,15,7.5,support,258,270,25.765,26.9,0.09458333333333317,0.003503789340454098,26.99458333333333,27.183749999999996,3,support,258,270,25.765,26.9,0.09458333333333317,0.003503789340454098,26.99458333333333,27.183749999999996,3,258,270,25.765,26.9,0.09458333333333317,3,0,"[{""start_idx"":273,""end_idx"":288,""kind"":""support"",""anchor1_idx"":258,""anchor2_idx"":270,""anchor1_price"":25.765,""anchor2_price"":26.9,""slope"":0.09458333333333317,""touch_count"":3}]",1.5773877364941824,-1.1625256439480232
9,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2024-07-30 17:25:00+00:00,2024-07-30 13:25:00-04:00,2024-08-01 19:55:00+00:00,2024-08-06 17:25:00+00:00,2024-08-01 15:55:00-04:00,2024-08-06 13:25:00-04:00,296,2024-08-01,2024-08-06,Thursday,bounce,short,4,16,26.135,26.985,26.980749999999997,,301,306,300,26.135,5,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.8457499999999953,0.03236081882532984,-0.03252343600535679,-0.04878515400803518,-1.0050251256281437,-1.5075376884422156,safety_break,5,2.5,resistance,280,294,29.825,27.81,-0.14392857142857146,-0.005229555422906233,27.522142857142857,26.8025,4,resistance,280,294,29.825,27.81,-0.14392857142857146,-0.005229555422906233,27.522142857142857,26.8025,4,280,294,29.825,27.81,-0.14392857142857146,4,0,"[{""start_idx"":301,""end_idx"":306,""kind"":""resistance"",""anchor1_idx"":280,""anchor2_idx"":294,""anchor1_price"":29.825,""anchor2_price"":27.81,""slope"":-0.14392857142857146,""touch_count"":4}]",5.787762341117387,-1.5193615134496095
10,PLTR,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.0,1.5,1.0,2024-08-22 17:25:00+00:00,2024-08-22 13:25:00-04:00,2024-08-23 17:25:00+00:00,2024-09-09 17:25:00+00:00,2024-08-23 13:25:00-04:00,2024-09-09 13:25:00-04:00,330,2024-08-23,2024-09-09,Friday,break,short,4,15,31.85,34.385,32.7935,,332,354,331,31.85,2,1.0,1.0,,unknown,1.0,1.0,high,1.5,1.5,0.9435000000000002,0.0296232339089482,-0.07959183673469372,-0.11938775510204058,-2.6868044515103295,-4.030206677265494,safety_break,22,11.0,support,315,328,29.27,31.97,0.20769230769230765,0.0064131493313698,32.385384615384616,32.80076923076923,4,resistance,322,328,32.745,32.67,-0.01249999999999929,-0.0003829070301730522,32.645,32.620000000000005,4,328,350,32.67,30.74,-0.08772727272727288,4,2,"[{""start_idx"":332,""end_idx"":341,""kind"":""resistance"",""anchor1_idx"":322,""anchor2_idx"":328,""anchor1_price"":32.745,""anchor2_price"":32.67,""slope"":-0.01249999999999929,""touch_count"":4},{""start_idx"":342,""end_idx"":351,""kind"":""resistance"",""anchor1_idx"":322,""anchor2_idx"":340,""anchor1_price"":32.745,""anchor2_price"":31.815,""slope"":-0.05166666666666645,""touch_count"":4},{""start_idx"":352,""end_idx"":354,""kind"":""resistance"",""anchor1_idx"":328,""anchor2_idx"":350,""anchor1_price"":32.67,""anchor2_price"":30.74,""slope"":-0.08772727272727288,""touch_count"":4}]",2.692103868574459,-2.840487546369898
