trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,min_volume_norm,trend_ma_days,aligned_scale,counter_scale,volume_trend_lookback,volume_trend_threshold,high_volume_scale,low_volume_scale,setup_time_utc,setup_time_et,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,setup_bar_idx,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,confirmation_end_idx,entry_trigger_price,entry_wait_bars,confirmation_avg_volume_norm,entry_volume_norm,trend_ma_lag1,trend_state,ma_scale,volume_trend_lag1,volume_state,volume_scale,position_scale,initial_risk,risk_pct_of_entry,raw_return_pct,return_pct,raw_r_multiple,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_setup,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_setup,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2022-07-20 19:55:00+00:00,2022-07-20 15:55:00-04:00,2022-07-21 19:55:00+00:00,2022-08-19 17:25:00+00:00,2022-07-21 15:55:00-04:00,2022-08-19 13:25:00-04:00,28,2022-07-21,2022-08-19,Thursday,bounce,long,3,23,815.38,883.825,741.6981818181818,,30,71,29,815.38,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,73.68181818181824,0.09036500549660066,0.08394245627805441,0.08394245627805441,0.9289265885256014,0.9289265885256014,safety_break,41,20.5,support,5,27,648.63,730.53,3.7227272727272718,0.005070089813019544,734.2527272727273,741.6981818181818,3,support,5,27,648.63,730.53,3.7227272727272718,0.005070089813019544,734.2527272727273,741.6981818181818,3,5,27,648.63,730.53,3.7227272727272718,3,0,"[{""start_idx"":30,""end_idx"":71,""kind"":""support"",""anchor1_idx"":5,""anchor2_idx"":27,""anchor1_price"":648.63,""anchor2_price"":730.53,""slope"":3.7227272727272718,""touch_count"":3}]",1.7433066008636635,-0.6308204811844538
2,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2022-10-06 19:55:00+00:00,2022-10-06 15:55:00-04:00,2022-10-07 19:55:00+00:00,2022-10-12 19:55:00+00:00,2022-10-07 15:55:00-04:00,2022-10-12 15:55:00-04:00,140,2022-10-07,2022-10-12,Friday,bounce,short,4,22,222.1,217.16,234.54857142857142,,142,148,141,222.1,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,12.448571428571427,0.05604939859780021,0.022242233228275565,0.022242233228275565,0.39683268303878805,0.39683268303878805,safety_break,6,3.0,resistance,118,139,313.76,244.45,-3.3004761904761906,-0.013686430469931716,241.1495238095238,234.54857142857142,4,resistance,118,139,313.76,244.45,-3.3004761904761906,-0.013686430469931716,241.1495238095238,234.54857142857142,4,118,139,313.76,244.45,-3.3004761904761906,4,0,"[{""start_idx"":142,""end_idx"":148,""kind"":""resistance"",""anchor1_idx"":118,""anchor2_idx"":139,""anchor1_price"":313.76,""anchor2_price"":244.45,""slope"":-3.3004761904761906,""touch_count"":4}]",0.8478884553591928,-0.39080789534083166
3,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2022-11-21 18:25:00+00:00,2022-11-21 13:25:00-05:00,2022-11-22 18:25:00+00:00,2022-11-22 20:55:00+00:00,2022-11-22 13:25:00-05:00,2022-11-22 15:55:00-05:00,203,2022-11-22,2022-11-22,Tuesday,bounce,short,3,28,167.55,169.89,169.6299999999999,,205,206,204,167.55,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,2.079999999999899,0.01241420471500984,-0.01396598030438656,-0.01396598030438656,-1.1250000000000426,-1.1250000000000426,safety_break,1,0.5,resistance,175,181,237.33,223.79,-2.25666666666667,-0.01295867388932491,174.14333333333326,169.6299999999999,3,resistance,175,181,237.33,223.79,-2.25666666666667,-0.01295867388932491,174.14333333333326,169.6299999999999,3,175,181,237.33,223.79,-2.25666666666667,3,0,"[{""start_idx"":205,""end_idx"":206,""kind"":""resistance"",""anchor1_idx"":175,""anchor2_idx"":181,""anchor1_price"":237.33,""anchor2_price"":223.79,""slope"":-2.25666666666667,""touch_count"":3}]",0.057692307692312685,-1.1826923076923554
4,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2022-12-13 18:25:00+00:00,2022-12-13 13:25:00-05:00,2022-12-14 18:25:00+00:00,2024-07-02 19:55:00+00:00,2022-12-14 13:25:00-05:00,2024-07-02 15:55:00-04:00,235,2022-12-14,2024-07-02,Wednesday,bounce,short,3,16,156.935,231.25,174.31,,237,257,236,156.935,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,17.375,0.11071462707490362,-0.47354000063720636,-0.47354000063720636,-4.277122302158273,-4.277122302158273,safety_break,20,10.0,resistance,219,231,198.88,182.5,-1.3649999999999995,-0.007710122006326252,177.04,174.31,3,resistance,219,231,198.88,182.5,-1.3649999999999995,-0.007710122006326252,177.04,174.31,3,219,231,198.88,182.5,-1.3649999999999995,3,0,"[{""start_idx"":237,""end_idx"":257,""kind"":""resistance"",""anchor1_idx"":219,""anchor2_idx"":231,""anchor1_price"":198.88,""anchor2_price"":182.5,""slope"":-1.3649999999999995,""touch_count"":3}]",2.772661870503597,-4.277122302158273
5,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2024-07-23 17:25:00+00:00,2024-07-23 13:25:00-04:00,2024-07-24 17:25:00+00:00,2024-07-31 19:55:00+00:00,2024-07-24 13:25:00-04:00,2024-07-31 15:55:00-04:00,286,2024-07-24,2024-07-31,Wednesday,bounce,short,4,16,245.65,232.055,246.66000000000003,,288,299,287,245.65,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,1.0100000000000193,0.004111540810095743,0.055342967636881735,0.055342967636881735,13.460396039603701,13.460396039603701,safety_break,11,5.5,resistance,270,274,270.87,265.49,-1.3449999999999989,-0.005394024463605369,249.35000000000002,246.66000000000003,4,resistance,270,274,270.87,265.49,-1.3449999999999989,-0.005394024463605369,249.35000000000002,246.66000000000003,4,270,274,270.87,265.49,-1.3449999999999989,4,0,"[{""start_idx"":288,""end_idx"":299,""kind"":""resistance"",""anchor1_idx"":270,""anchor2_idx"":274,""anchor1_price"":270.87,""anchor2_price"":265.49,""slope"":-1.3449999999999989,""touch_count"":4}]",29.99999999999944,0.0
6,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2024-08-01 17:25:00+00:00,2024-08-01 13:25:00-04:00,2024-08-02 17:25:00+00:00,2024-08-15 17:25:00+00:00,2024-08-02 13:25:00-04:00,2024-08-15 13:25:00-04:00,300,2024-08-02,2024-08-15,Friday,bounce,short,4,26,214.365,213.925,229.51,,302,320,301,214.365,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,15.144999999999982,0.07065052597205691,0.0020525738809973326,0.0020525738809973326,0.02905249257180576,0.02905249257180576,safety_break,18,9.0,resistance,274,298,265.49,234.65,-1.2850000000000001,-0.00553688383316098,232.08,229.51,4,resistance,274,298,265.49,234.65,-1.2850000000000001,-0.00553688383316098,232.08,229.51,4,274,298,265.49,234.65,-1.2850000000000001,4,0,"[{""start_idx"":302,""end_idx"":320,""kind"":""resistance"",""anchor1_idx"":274,""anchor2_idx"":298,""anchor1_price"":265.49,""anchor2_price"":234.65,""slope"":-1.2850000000000001,""touch_count"":4}]",2.1370089138329513,-0.09243974909210821
7,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2024-08-16 17:25:00+00:00,2024-08-16 13:25:00-04:00,2024-08-20 17:25:00+00:00,2024-08-22 17:25:00+00:00,2024-08-20 13:25:00-04:00,2024-08-22 13:25:00-04:00,322,2024-08-20,2024-08-22,Tuesday,bounce,long,3,18,222.98,215.635,218.1075,,326,330,325,222.98,4,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,4.872500000000002,0.021851735581666528,-0.0329401740066374,-0.0329401740066374,-1.507439712673165,-1.507439712673165,safety_break,4,2.0,support,304,312,182.0,195.13,1.6412499999999994,0.007758488247042554,211.5425,218.1075,3,support,304,312,182.0,195.13,1.6412499999999994,0.007758488247042554,211.5425,218.1075,3,304,312,182.0,195.13,1.6412499999999994,3,0,"[{""start_idx"":326,""end_idx"":330,""kind"":""support"",""anchor1_idx"":304,""anchor2_idx"":312,""anchor1_price"":182.0,""anchor2_price"":195.13,""slope"":1.6412499999999994,""touch_count"":3}]",0.3694202154951279,-1.5310415597742384
8,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2024-08-27 17:25:00+00:00,2024-08-27 13:25:00-04:00,2024-08-28 17:25:00+00:00,2024-08-30 17:25:00+00:00,2024-08-28 13:25:00-04:00,2024-08-30 13:25:00-04:00,336,2024-08-28,2024-08-30,Wednesday,bounce,short,4,10,206.97,210.47,214.795,,338,342,337,206.97,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,7.824999999999989,0.03780741170217901,-0.016910663381166424,-0.016910663381166424,-0.44728434504792397,-0.44728434504792397,safety_break,4,2.0,resistance,326,332,228.165,221.48,-1.114166666666667,-0.005133856574561877,217.0233333333333,214.795,4,resistance,326,332,228.165,221.48,-1.114166666666667,-0.005133856574561877,217.0233333333333,214.795,4,326,332,228.165,221.48,-1.114166666666667,4,0,"[{""start_idx"":338,""end_idx"":342,""kind"":""resistance"",""anchor1_idx"":326,""anchor2_idx"":332,""anchor1_price"":228.165,""anchor2_price"":221.48,""slope"":-1.114166666666667,""touch_count"":4}]",0.5616613418530373,-1.0083067092651792
9,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2024-09-20 19:55:00+00:00,2024-09-20 15:55:00-04:00,2024-09-23 19:55:00+00:00,2024-10-01 17:25:00+00:00,2024-09-23 15:55:00-04:00,2024-10-01 13:25:00-04:00,373,2024-09-23,2024-10-01,Monday,bounce,long,4,20,250.0,253.065,239.8921052631579,,375,386,374,250.0,2,1.0,1.0,,unknown,1.0,1.0,low,1.0,1.0,10.107894736842098,0.040431578947368395,0.012259999999999938,0.012259999999999938,0.30322832595678206,0.30322832595678206,safety_break,11,5.5,support,353,372,210.58,235.895,1.3323684210526314,0.005616419513147502,237.22736842105263,239.8921052631579,4,support,353,372,210.58,235.895,1.3323684210526314,0.005616419513147502,237.22736842105263,239.8921052631579,4,353,372,210.58,235.895,1.3323684210526314,4,0,"[{""start_idx"":375,""end_idx"":386,""kind"":""support"",""anchor1_idx"":353,""anchor2_idx"":372,""anchor1_price"":210.58,""anchor2_price"":235.895,""slope"":1.3323684210526314,""touch_count"":4}]",1.4676646706586816,-0.14246290028638361
10,TSLA,240,8,3,0.0002,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,0.0,200,1.5,1.0,5,1.1,1.5,1.0,2024-10-08 17:25:00+00:00,2024-10-08 13:25:00-04:00,2024-10-09 17:25:00+00:00,2024-10-09 19:55:00+00:00,2024-10-09 13:25:00-04:00,2024-10-09 15:55:00-04:00,396,2024-10-09,2024-10-09,Wednesday,bounce,long,3,32,246.2,241.055,241.58,,398,399,397,246.2,2,1.0,1.0,342.395175,counter,1.0,1.0,low,1.0,1.0,4.619999999999976,0.018765231519090073,-0.020897644191714027,-0.020897644191714027,-1.1136363636363655,-1.1136363636363655,safety_break,1,0.5,support,364,391,223.56,237.87,0.5300000000000001,0.0022035589555962085,240.52,241.58,3,support,364,391,223.56,237.87,0.5300000000000001,0.0022035589555962085,240.52,241.58,3,364,391,223.56,237.87,0.5300000000000001,3,0,"[{""start_idx"":398,""end_idx"":399,""kind"":""support"",""anchor1_idx"":364,""anchor2_idx"":391,""anchor1_price"":223.56,""anchor2_price"":237.87,""slope"":0.5300000000000001,""touch_count"":3}]",0.0,-1.1233766233766287
