entry_year,setup,side,trades,win_rate,avg_return_pct,total_return
2022,bounce,short,5,0.4,0.10159314760961433,0.44514348236553913
2022,bounce,long,3,0.0,-0.028900887267813424,-0.08469931405016229
2023,bounce,long,17,0.23529411764705882,0.013257039673484702,0.16014914350439846
2023,break,long,6,0.5,0.024075797291063183,0.11890925735079416
2023,break,short,6,0.6666666666666666,0.015424968645079048,0.09158110934100216
2023,bounce,short,3,0.6666666666666666,0.02507151072555987,0.07420874584562887
2024,bounce,long,10,0.6,0.10237192962236263,1.2238938855765764
2024,break,long,1,1.0,0.009466965028836705,0.009466965028836594
2024,break,short,2,0.0,-0.033001978553819644,-0.06516147119301252
2024,bounce,short,11,0.09090909090909091,-0.05262034145397476,-0.46075809464607753
2025,bounce,short,6,0.6666666666666666,0.04854658808066383,0.2957898330734525
2025,bounce,long,7,0.2857142857142857,0.010152429166505479,0.040173942953499076
2025,break,short,1,1.0,0.0013182044303484408,0.0013182044303483575
2025,break,long,2,0.5,-0.010501300891143706,-0.021166010691110237
2026,bounce,short,2,0.5,0.237859747686751,0.4542548297595883
