entry_year,setup,side,trades,win_rate,avg_return_pct,total_return
2017,break,long,1,1.0,0.09647705235940529,0.0964770523594054
2017,break,short,2,0.5,0.047055479769014905,0.08720002523715942
2017,bounce,long,5,0.6,0.012988806078821913,0.06596591109473282
2017,bounce,short,3,0.3333333333333333,-0.002960608204869412,-0.008895581165306865
2018,bounce,long,3,0.3333333333333333,0.010678709400691063,0.03049575350026834
2018,bounce,short,6,0.5,-0.0012958379703987971,-0.011730308883136087
2018,break,short,2,0.0,-0.006514934065898287,-0.012995670997425157
2018,break,long,2,0.0,-0.029507025193798442,-0.058194646317829446
2019,break,long,1,1.0,0.25876577840112214,0.25876577840112214
2019,bounce,short,6,0.5,0.010219380111888277,0.0614250244144805
2019,break,short,1,1.0,0.024640657084188944,0.024640657084189055
2019,bounce,long,2,0.5,-0.007379558189757662,-0.01480727883325561
2020,bounce,long,5,0.4,0.11162511817076082,0.5273369651403639
2020,break,short,1,1.0,0.36752411575562716,0.36752411575562727
2020,bounce,short,1,0.0,-0.016001219140505785,-0.016001219140505785
2020,break,long,2,0.0,-0.09474612681423969,-0.18065422941454945
2021,bounce,short,1,1.0,0.06446307300509302,0.06446307300509302
2021,break,long,1,1.0,0.055950687529634946,0.055950687529634946
2022,break,long,2,1.0,0.07010585490656152,0.1449232330445569
2022,bounce,short,3,0.6666666666666666,0.015389815634450021,0.043498459510646015
2022,break,short,1,0.0,-0.013295553618134281,-0.013295553618134281
2022,bounce,long,4,0.25,-0.009783649726183223,-0.03926036491832208
2023,break,long,2,0.5,0.030766662035411965,0.061109875942364944
2023,bounce,long,3,0.3333333333333333,0.0231522916253101,0.04856328169302526
2023,bounce,short,5,0.4,0.005631217076929285,0.024293392430362548
2023,break,short,1,0.0,-0.0015300546448087093,-0.0015300546448087093
2024,bounce,long,3,0.6666666666666666,0.08838732502537966,0.2763782036369402
2024,bounce,short,3,0.3333333333333333,-0.010747465513202695,-0.03245346559420492
2025,bounce,long,9,0.3333333333333333,0.1468818116845062,1.1467981373692906
2025,break,long,4,0.75,0.040119203692720304,0.16315549088161996
2025,break,short,1,0.0,-0.010727455581629242,-0.010727455581629242
