trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,setup_time_utc,setup_time_et,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,setup_bar_idx,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,confirmation_end_idx,entry_trigger_price,entry_wait_bars,initial_risk,risk_pct_of_entry,return_pct,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_setup,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_setup,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2017-04-07 17:25:00+00:00,2017-04-07 13:25:00-04:00,2017-04-10 17:25:00+00:00,2017-04-13 17:25:00+00:00,2017-04-10 13:25:00-04:00,2017-04-13 13:25:00-04:00,134,2017-04-10,2017-04-13,Monday,break,long,3,56,16.99,16.74,16.927966101694913,,136,142,135,16.99,2,0.06203389830508499,0.0036512006065382574,-0.014714537963507968,-4.030054644808727,safety_break,6,3.0,resistance,78,112,17.89,17.34,-0.016176470588235316,-0.00095244692273058,16.984117647058824,16.95176470588235,3,support,8,126,16.57,16.9,0.002796610169491511,0.00016526111255784056,16.92237288135593,16.927966101694913,2,8,126,16.57,16.9,0.002796610169491511,2,0,"[{""start_idx"":136,""end_idx"":142,""kind"":""support"",""anchor1_idx"":8,""anchor2_idx"":126,""anchor1_price"":16.57,""anchor2_price"":16.9,""slope"":0.002796610169491511,""touch_count"":2}]",0.0,-4.030054644808727
2,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2017-04-25 17:25:00+00:00,2017-04-25 13:25:00-04:00,2017-04-26 17:25:00+00:00,2017-05-17 19:55:00+00:00,2017-04-26 13:25:00-04:00,2017-05-17 15:55:00-04:00,158,2017-04-26,2017-05-17,Wednesday,break,long,3,102,16.69,16.53,16.57,,160,191,159,16.69,2,0.120000000000001,0.0071899340922708796,-0.009586578789694489,-1.3333333333333235,safety_break,31,15.5,resistance,56,157,18.7,16.7,-0.019801980198019802,-0.0011871549830830418,16.680198019801978,16.64059405940594,3,support,8,156,16.57,16.57,0.0,0.0,16.57,16.57,2,8,156,16.57,16.57,0.0,2,0,"[{""start_idx"":160,""end_idx"":191,""kind"":""support"",""anchor1_idx"":8,""anchor2_idx"":156,""anchor1_price"":16.57,""anchor2_price"":16.57,""slope"":0.0,""touch_count"":2}]",1.9999999999999705,-1.8333333333333384
3,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2017-12-28 20:55:00+00:00,2017-12-28 15:55:00-05:00,2017-12-29 20:55:00+00:00,2018-01-02 20:55:00+00:00,2017-12-29 15:55:00-05:00,2018-01-02 15:55:00-05:00,490,2017-12-29,2018-01-02,Friday,break,long,3,49,21.25,20.95,20.747500000000002,,492,496,491,21.25,2,0.5024999999999977,0.023647058823529306,-0.014117647058823568,-0.5970149253731385,safety_break,4,2.0,resistance,441,472,20.46,20.04,-0.013548387096774249,-0.0006843957763003548,19.79612903225806,19.769032258064513,3,support,467,479,19.31,20.0,0.05750000000000011,0.0027868653822852346,20.6325,20.747500000000002,3,467,479,19.31,20.0,0.05750000000000011,3,0,"[{""start_idx"":492,""end_idx"":496,""kind"":""support"",""anchor1_idx"":467,""anchor2_idx"":479,""anchor1_price"":19.31,""anchor2_price"":20.0,""slope"":0.05750000000000011,""touch_count"":3}]",0.0,-0.5970149253731385
4,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-01-18 20:55:00+00:00,2018-01-18 15:55:00-05:00,2018-01-19 20:55:00+00:00,2018-02-08 18:25:00+00:00,2018-01-19 15:55:00-05:00,2018-02-08 13:25:00-05:00,520,2018-01-19,2018-02-08,Friday,break,long,3,13,20.42,19.71,19.96624999999999,,522,549,521,20.42,2,0.4537500000000101,0.022220861900098435,-0.034769833496572033,-1.5647382920109865,safety_break,27,13.5,resistance,507,515,20.74,20.54,-0.02499999999999991,-0.0012245897624295818,20.415,20.365,3,support,457,465,18.91,19.04,0.016249999999999876,0.0008152003511632223,19.933749999999993,19.96624999999999,3,461,543,18.96,20.42,0.017804878048780497,3,1,"[{""start_idx"":522,""end_idx"":544,""kind"":""support"",""anchor1_idx"":457,""anchor2_idx"":465,""anchor1_price"":18.91,""anchor2_price"":19.04,""slope"":0.016249999999999876,""touch_count"":3},{""start_idx"":545,""end_idx"":549,""kind"":""support"",""anchor1_idx"":461,""anchor2_idx"":543,""anchor1_price"":18.96,""anchor2_price"":20.42,""slope"":0.017804878048780497,""touch_count"":3}]",0.7933884297520473,-1.5647382920109865
5,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-02-26 20:55:00+00:00,2018-02-26 15:55:00-05:00,2018-02-28 18:25:00+00:00,2018-03-09 18:25:00+00:00,2018-02-28 13:25:00-05:00,2018-03-09 13:25:00-05:00,574,2018-02-28,2018-03-09,Wednesday,break,short,3,21,20.56,20.01,20.791851851851852,,577,591,576,20.56,3,0.23185185185185375,0.0112768410433781,0.02675097276264582,2.3722044728434186,safety_break,14,7.0,support,553,573,19.69,20.53,0.041999999999999996,0.0020416099552790197,20.572000000000003,20.698,3,resistance,507,561,20.74,20.78,0.0007407407407407908,3.563030000712847e-05,20.78962962962963,20.791851851851852,5,581,589,19.96,19.98,0.0024999999999999467,4,2,"[{""start_idx"":577,""end_idx"":582,""kind"":""resistance"",""anchor1_idx"":507,""anchor2_idx"":561,""anchor1_price"":20.74,""anchor2_price"":20.78,""slope"":0.0007407407407407908,""touch_count"":5},{""start_idx"":583,""end_idx"":590,""kind"":""resistance"",""anchor1_idx"":561,""anchor2_idx"":579,""anchor1_price"":20.78,""anchor2_price"":20.56,""slope"":-0.012222222222222356,""touch_count"":4},{""start_idx"":591,""end_idx"":591,""kind"":""resistance"",""anchor1_idx"":581,""anchor2_idx"":589,""anchor1_price"":19.96,""anchor2_price"":19.98,""slope"":0.0024999999999999467,""touch_count"":4}]",4.011182108626164,0.0
6,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-03-15 17:25:00+00:00,2018-03-15 13:25:00-04:00,2018-03-19 17:25:00+00:00,2018-03-28 17:25:00+00:00,2018-03-19 13:25:00-04:00,2018-03-28 13:25:00-04:00,599,2018-03-19,2018-03-28,Monday,break,short,3,10,19.7,19.17,20.266666666666662,,603,617,602,19.7,4,0.5666666666666629,0.028764805414551415,0.026903553299492233,0.9352941176470608,safety_break,14,7.0,support,589,595,19.63,19.87,0.040000000000000334,0.0019970044932601265,20.03,20.190000000000005,3,resistance,561,579,20.78,20.56,-0.012222222222222356,-0.0006016189017720478,20.31555555555555,20.266666666666662,4,600,615,19.95,19.17,-0.05199999999999984,3,1,"[{""start_idx"":603,""end_idx"":616,""kind"":""resistance"",""anchor1_idx"":561,""anchor2_idx"":579,""anchor1_price"":20.78,""anchor2_price"":20.56,""slope"":-0.012222222222222356,""touch_count"":4},{""start_idx"":617,""end_idx"":617,""kind"":""resistance"",""anchor1_idx"":600,""anchor2_idx"":615,""anchor1_price"":19.95,""anchor2_price"":19.17,""slope"":-0.05199999999999984,""touch_count"":3}]",1.3235294117647147,-0.03529411764705831
7,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-04-17 17:25:00+00:00,2018-04-17 13:25:00-04:00,2018-04-18 17:25:00+00:00,2018-04-27 17:25:00+00:00,2018-04-18 13:25:00-04:00,2018-04-27 13:25:00-04:00,643,2018-04-18,2018-04-27,Wednesday,bounce,long,3,14,19.64,19.48,19.572,,645,659,644,19.64,2,0.06800000000000139,0.0034623217922607635,-0.008146639511201648,-2.352941176470542,safety_break,14,7.0,support,629,639,19.38,19.5,0.012000000000000099,0.0006138735420503427,19.548000000000002,19.572,3,support,629,639,19.38,19.5,0.012000000000000099,0.0006138735420503427,19.548000000000002,19.572,3,629,639,19.38,19.5,0.012000000000000099,3,0,"[{""start_idx"":645,""end_idx"":659,""kind"":""support"",""anchor1_idx"":629,""anchor2_idx"":639,""anchor1_price"":19.38,""anchor2_price"":19.5,""slope"":0.012000000000000099,""touch_count"":3}]",7.764705882352763,-3.3823529411764075
8,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-05-10 17:25:00+00:00,2018-05-10 13:25:00-04:00,2018-05-11 19:55:00+00:00,2018-06-20 17:25:00+00:00,2018-05-11 15:55:00-04:00,2018-06-20 13:25:00-04:00,677,2018-05-11,2018-06-20,Friday,break,long,3,23,19.77,19.2,19.298538461538463,,680,735,678,19.77,3,0.4714615384615364,0.023847321115909783,-0.028831562974203306,-1.2090063631913912,safety_break,55,27.5,resistance,654,674,20.06,19.5,-0.027999999999999935,-0.0014421096003296217,19.416,19.332,3,support,633,659,19.548,19.41,-0.0053076923076922355,-0.00027480405276237435,19.31446153846154,19.298538461538463,6,673,705,19.3,19.39,0.0028124999999999956,4,2,"[{""start_idx"":680,""end_idx"":686,""kind"":""support"",""anchor1_idx"":633,""anchor2_idx"":659,""anchor1_price"":19.548,""anchor2_price"":19.41,""slope"":-0.0053076923076922355,""touch_count"":6},{""start_idx"":687,""end_idx"":706,""kind"":""support"",""anchor1_idx"":639,""anchor2_idx"":685,""anchor1_price"":19.5,""anchor2_price"":19.36,""slope"":-0.0030434782608695777,""touch_count"":5},{""start_idx"":707,""end_idx"":735,""kind"":""support"",""anchor1_idx"":673,""anchor2_idx"":705,""anchor1_price"":19.3,""anchor2_price"":19.39,""slope"":0.0028124999999999956,""touch_count"":4}]",2.481644640234963,-1.2090063631913912
9,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-07-11 17:25:00+00:00,2018-07-11 13:25:00-04:00,2018-07-12 17:25:00+00:00,2018-07-13 19:55:00+00:00,2018-07-12 13:25:00-04:00,2018-07-13 15:55:00-04:00,765,2018-07-12,2018-07-13,Thursday,bounce,short,3,12,17.34,17.57,17.742,,767,770,766,17.34,2,0.402000000000001,0.023183391003460268,-0.013264129181084217,-0.5721393034825867,safety_break,3,1.5,resistance,753,763,18.75,18.03,-0.07199999999999988,-0.004025494800402542,17.886000000000003,17.742,3,resistance,753,763,18.75,18.03,-0.07199999999999988,-0.004025494800402542,17.886000000000003,17.742,3,753,763,18.75,18.03,-0.07199999999999988,3,0,"[{""start_idx"":767,""end_idx"":770,""kind"":""resistance"",""anchor1_idx"":753,""anchor2_idx"":763,""anchor1_price"":18.75,""anchor2_price"":18.03,""slope"":-0.07199999999999988,""touch_count"":3}]",0.0,-0.5721393034825867
10,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-08-03 17:25:00+00:00,2018-08-03 13:25:00-04:00,2018-08-06 17:25:00+00:00,2018-08-17 17:25:00+00:00,2018-08-06 13:25:00-04:00,2018-08-17 13:25:00-04:00,799,2018-08-06,2018-08-17,Monday,bounce,short,3,38,17.37,17.37,17.572931034482757,,801,819,800,17.37,2,0.20293103448275573,0.011682845969070566,-0.0,-0.0,safety_break,18,9.0,resistance,761,790,18.035,17.7,-0.011551724137931063,-0.0006564958797534729,17.59603448275862,17.572931034482757,3,resistance,761,790,18.035,17.7,-0.011551724137931063,-0.0006564958797534729,17.59603448275862,17.572931034482757,3,761,790,18.035,17.7,-0.011551724137931063,3,0,"[{""start_idx"":801,""end_idx"":819,""kind"":""resistance"",""anchor1_idx"":761,""anchor2_idx"":790,""anchor1_price"":18.035,""anchor2_price"":17.7,""slope"":-0.011551724137931063,""touch_count"":3}]",0.0,0.0
11,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-08-17 19:55:00+00:00,2018-08-17 15:55:00-04:00,2018-08-20 19:55:00+00:00,2018-08-28 17:25:00+00:00,2018-08-20 15:55:00-04:00,2018-08-28 13:25:00-04:00,820,2018-08-20,2018-08-28,Monday,break,short,3,52,17.37,17.29,17.416973684210525,,822,833,821,17.37,2,0.04697368421052417,0.002704299609126319,0.004605641911341496,1.7030812324931144,safety_break,11,5.5,support,768,791,17.34,17.625,0.012391304347826093,0.0006890049318247755,17.984347826086957,18.00913043478261,3,resistance,761,799,18.035,17.65,-0.010131578947368462,-0.0005810312172226732,17.43723684210526,17.416973684210525,3,747,829,18.96,17.165,-0.021890243902439044,2,1,"[{""start_idx"":822,""end_idx"":830,""kind"":""resistance"",""anchor1_idx"":761,""anchor2_idx"":799,""anchor1_price"":18.035,""anchor2_price"":17.65,""slope"":-0.010131578947368462,""touch_count"":3},{""start_idx"":831,""end_idx"":833,""kind"":""resistance"",""anchor1_idx"":747,""anchor2_idx"":829,""anchor1_price"":18.96,""anchor2_price"":17.165,""slope"":-0.021890243902439044,""touch_count"":2}]",14.156862745098744,0.0
12,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-08-28 19:55:00+00:00,2018-08-28 15:55:00-04:00,2018-08-29 19:55:00+00:00,2018-09-18 17:25:00+00:00,2018-08-29 15:55:00-04:00,2018-09-18 13:25:00-04:00,834,2018-08-29,2018-09-18,Wednesday,bounce,short,4,73,17.07,17.07,17.217377049180328,,836,863,835,17.07,2,0.1473770491803279,0.008633687708279315,-0.0,-0.0,safety_break,27,13.5,resistance,761,822,18.035,17.37,-0.010901639344262281,-0.0006323757357905639,17.239180327868855,17.217377049180328,4,resistance,761,822,18.035,17.37,-0.010901639344262281,-0.0006323757357905639,17.239180327868855,17.217377049180328,4,761,822,18.035,17.37,-0.010901639344262281,4,0,"[{""start_idx"":836,""end_idx"":863,""kind"":""resistance"",""anchor1_idx"":761,""anchor2_idx"":822,""anchor1_price"":18.035,""anchor2_price"":17.37,""slope"":-0.010901639344262281,""touch_count"":4}]",6.038932146829813,-0.6446051167964326
13,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-09-26 19:55:00+00:00,2018-09-26 15:55:00-04:00,2018-09-27 19:55:00+00:00,2018-10-02 17:25:00+00:00,2018-09-27 15:55:00-04:00,2018-10-02 13:25:00-04:00,876,2018-09-27,2018-10-02,Thursday,break,short,3,13,17.365,17.59,17.679999999999996,,878,883,877,17.365,2,0.3149999999999977,0.018139936654189334,-0.012957097610135415,-0.714285714285724,safety_break,5,2.5,support,863,874,16.58,17.671,0.09918181818181827,0.005550383337657652,17.869363636363637,18.06772727272727,3,resistance,869,873,17.95,17.83,-0.03000000000000025,-0.0016910935738444336,17.74,17.679999999999996,3,869,879,17.95,17.615,-0.033500000000000085,4,1,"[{""start_idx"":878,""end_idx"":881,""kind"":""resistance"",""anchor1_idx"":869,""anchor2_idx"":873,""anchor1_price"":17.95,""anchor2_price"":17.83,""slope"":-0.03000000000000025,""touch_count"":3},{""start_idx"":882,""end_idx"":883,""kind"":""resistance"",""anchor1_idx"":869,""anchor2_idx"":879,""anchor1_price"":17.95,""anchor2_price"":17.615,""slope"":-0.033500000000000085,""touch_count"":4}]",0.04761904761903849,-1.4761904761904865
14,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-10-08 17:25:00+00:00,2018-10-08 13:25:00-04:00,2018-10-09 17:25:00+00:00,2018-10-10 17:25:00+00:00,2018-10-09 13:25:00-04:00,2018-10-10 13:25:00-04:00,891,2018-10-09,2018-10-10,Tuesday,bounce,long,4,38,17.42,17.45,17.400555555555556,,893,895,892,17.42,2,0.019444444444445708,0.0011162138027810394,0.00172215843857626,1.5428571428569184,safety_break,2,1.0,support,853,889,16.245,17.285,0.028888888888888867,0.0016657590415478734,17.342777777777776,17.400555555555556,4,support,853,889,16.245,17.285,0.028888888888888867,0.0016657590415478734,17.342777777777776,17.400555555555556,4,853,889,16.245,17.285,0.028888888888888867,4,0,"[{""start_idx"":893,""end_idx"":895,""kind"":""support"",""anchor1_idx"":853,""anchor2_idx"":889,""anchor1_price"":16.245,""anchor2_price"":17.285,""slope"":0.028888888888888867,""touch_count"":4}]",12.34285714285626,0.0
15,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-10-15 17:25:00+00:00,2018-10-15 13:25:00-04:00,2018-10-17 17:25:00+00:00,2018-11-02 17:25:00+00:00,2018-10-17 13:25:00-04:00,2018-11-02 13:25:00-04:00,901,2018-10-17,2018-11-02,Wednesday,bounce,short,6,32,17.418,17.5,17.55785714285714,,905,929,904,17.418,4,0.13985714285714224,0.008029460492429799,-0.004707773567573792,-0.5863125638406617,safety_break,24,12.0,resistance,869,897,17.95,17.645,-0.010892857142857133,-0.0006188621053485913,17.60142857142857,17.55785714285714,6,resistance,869,897,17.95,17.645,-0.010892857142857133,-0.0006188621053485913,17.60142857142857,17.55785714285714,6,869,897,17.95,17.645,-0.010892857142857133,6,0,"[{""start_idx"":905,""end_idx"":929,""kind"":""resistance"",""anchor1_idx"":869,""anchor2_idx"":897,""anchor1_price"":17.95,""anchor2_price"":17.645,""slope"":-0.010892857142857133,""touch_count"":6}]",5.705822267620033,-1.4443309499489463
16,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-11-20 20:55:00+00:00,2018-11-20 15:55:00-05:00,2018-11-22 20:55:00+00:00,2018-11-28 18:25:00+00:00,2018-11-22 15:55:00-05:00,2018-11-28 13:25:00-05:00,954,2018-11-22,2018-11-28,Thursday,break,short,3,12,17.45,17.54,17.593026315789473,,958,965,957,17.45,4,0.14302631578947356,0.008196350475041464,-0.00515759312320907,-0.6292548298068072,safety_break,7,3.5,support,942,951,16.73,17.365,0.07055555555555533,0.004014160187116746,17.576666666666664,17.858888888888885,3,resistance,915,953,17.395,17.57,0.0046052631578947555,0.00026204077354436453,17.574605263157896,17.593026315789473,5,951,961,17.55,17.36,-0.019000000000000128,4,2,"[{""start_idx"":958,""end_idx"":960,""kind"":""resistance"",""anchor1_idx"":915,""anchor2_idx"":953,""anchor1_price"":17.395,""anchor2_price"":17.57,""slope"":0.0046052631578947555,""touch_count"":5},{""start_idx"":961,""end_idx"":962,""kind"":""resistance"",""anchor1_idx"":917,""anchor2_idx"":959,""anchor1_price"":17.41,""anchor2_price"":17.45,""slope"":0.0009523809523809321,""touch_count"":4},{""start_idx"":963,""end_idx"":965,""kind"":""resistance"",""anchor1_idx"":951,""anchor2_idx"":961,""anchor1_price"":17.55,""anchor2_price"":17.36,""slope"":-0.019000000000000128,""touch_count"":4}]",3.1462741490340367,-0.7690892364305395
17,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-12-04 20:55:00+00:00,2018-12-04 15:55:00-05:00,2018-12-05 20:55:00+00:00,2018-12-06 18:25:00+00:00,2018-12-05 15:55:00-05:00,2018-12-06 13:25:00-05:00,974,2018-12-05,2018-12-06,Wednesday,bounce,long,3,32,17.24,17.14,17.196129032258067,,976,977,975,17.24,2,0.04387096774193111,0.0025447197066085334,-0.0058004640371228655,-2.2794117647060608,safety_break,1,0.5,support,942,973,16.73,17.155,0.013709677419354862,0.0007985269526332613,17.168709677419358,17.196129032258067,3,support,942,973,16.73,17.155,0.013709677419354862,0.0007985269526332613,17.168709677419358,17.196129032258067,3,942,973,16.73,17.155,0.013709677419354862,3,0,"[{""start_idx"":976,""end_idx"":977,""kind"":""support"",""anchor1_idx"":942,""anchor2_idx"":973,""anchor1_price"":16.73,""anchor2_price"":17.155,""slope"":0.013709677419354862,""touch_count"":3}]",0.0,-7.6360294117654055
18,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-12-21 18:25:00+00:00,2018-12-21 13:25:00-05:00,2018-12-24 18:25:00+00:00,2018-12-25 18:25:00+00:00,2018-12-24 13:25:00-05:00,2018-12-25 13:25:00-05:00,999,2018-12-24,2018-12-25,Monday,bounce,short,4,12,16.63,16.616,16.704444444444444,,1001,1003,1000,16.63,2,0.07444444444444542,0.004476514999665991,0.0008418520745639979,0.18805970149252607,safety_break,2,1.0,resistance,987,996,17.42,16.96,-0.051111111111111204,-0.0030411212481819437,16.80666666666667,16.704444444444444,4,resistance,987,996,17.42,16.96,-0.051111111111111204,-0.0030411212481819437,16.80666666666667,16.704444444444444,4,987,996,17.42,16.96,-0.051111111111111204,4,0,"[{""start_idx"":1001,""end_idx"":1003,""kind"":""resistance"",""anchor1_idx"":987,""anchor2_idx"":996,""anchor1_price"":17.42,""anchor2_price"":16.96,""slope"":-0.051111111111111204,""touch_count"":4}]",0.18805970149252607,0.0
19,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2018-12-28 20:55:00+00:00,2018-12-28 15:55:00-05:00,2019-01-02 18:25:00+00:00,2019-01-04 18:25:00+00:00,2019-01-02 13:25:00-05:00,2019-01-04 13:25:00-05:00,1010,2019-01-02,2019-01-04,Wednesday,bounce,short,4,39,16.41,16.55,16.63842105263158,,1015,1019,1011,16.41,5,0.2284210526315782,0.013919625388883498,-0.008531383302864182,-0.6129032258064562,safety_break,4,2.0,resistance,971,1009,17.75,16.79,-0.025263157894736866,-0.001506922424889337,16.76473684210526,16.63842105263158,4,resistance,971,1009,17.75,16.79,-0.025263157894736866,-0.001506922424889337,16.76473684210526,16.63842105263158,4,971,1009,17.75,16.79,-0.025263157894736866,4,0,"[{""start_idx"":1015,""end_idx"":1019,""kind"":""resistance"",""anchor1_idx"":971,""anchor2_idx"":1009,""anchor1_price"":17.75,""anchor2_price"":16.79,""slope"":-0.025263157894736866,""touch_count"":4}]",2.1451612903225885,-0.6129032258064562
20,COPPER,240,12,3,0.0006,0.0,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,2019-01-04 20:55:00+00:00,2019-01-04 15:55:00-05:00,2019-01-07 20:55:00+00:00,2019-01-08 18:25:00+00:00,2019-01-07 15:55:00-05:00,2019-01-08 13:25:00-05:00,1020,2019-01-07,2019-01-08,Monday,bounce,short,4,35,16.47,16.555,16.5626,,1022,1023,1021,16.47,2,0.0926000000000009,0.005622343655130596,-0.005160898603521646,-0.9179265658747303,safety_break,1,0.5,resistance,985,1005,17.31,16.906,-0.020199999999999996,-0.0012166475938083477,16.602999999999998,16.5626,4,resistance,985,1005,17.31,16.906,-0.020199999999999996,-0.0012166475938083477,16.602999999999998,16.5626,4,985,1005,17.31,16.906,-0.020199999999999996,4,0,"[{""start_idx"":1022,""end_idx"":1023,""kind"":""resistance"",""anchor1_idx"":985,""anchor2_idx"":1005,""anchor1_price"":17.31,""anchor2_price"":16.906,""slope"":-0.020199999999999996,""touch_count"":4}]",0.3779697624190043,-1.3390928725702065
