setup,side,trend_bucket,trades,win_rate,avg_return_pct,median_return_pct,avg_r_multiple,total_return,avg_touch_count,avg_hold_days
bounce,long,steady,10,0.4,0.07136297903291916,-0.0010681839072007593,-0.2720266046482385,0.7064963534927053,3.3,42.65
bounce,long,soft,15,0.3333333333333333,0.010721485933076187,-0.008486562942008447,0.5469476162881233,0.14819278067613562,3.4,18.466666666666665
break,short,steady,9,0.7777777777777778,0.013732013514482562,0.0038610038610037423,0.8791489873862922,0.12662663398663843,3.5555555555555554,4.611111111111111
break,long,strong,10,0.5,0.011362271691304316,0.004338699249221756,1.0621232549959445,0.1165097397090149,3.4,5.0
break,long,steady,11,0.18181818181818182,0.004347136490682565,-0.0028248587570621764,0.1213006194271215,0.042352596550983,3.5454545454545454,5.454545454545454
bounce,short,strong,8,0.625,0.004221645078446509,0.0013807864212261323,0.6029980470298923,0.03280498927001818,3.25,3.125
break,short,strong,10,0.3,0.0029586945535443054,-0.0026995695084643945,-0.04972900497115098,0.026495481909876162,3.1,4.1
bounce,short,steady,7,0.14285714285714285,0.0030392848891679053,-0.007312614259597838,0.5579622212994335,0.019017488269265526,3.857142857142857,6.571428571428571
break,short,soft,12,0.3333333333333333,0.0018683926224375886,-0.007250287068734984,3.0317646171031125,0.007876587135611457,3.1666666666666665,5.041666666666667
bounce,long,strong,9,0.3333333333333333,0.00013537492575922528,-0.00021843599825244198,4691249611844.668,0.0005992502231002561,3.0,1.3888888888888888
bounce,short,soft,3,0.0,-0.007855946863338273,-0.005169442848937278,-1.8009986213778777,-0.023442942062157468,3.6666666666666665,3.8333333333333335
break,long,soft,8,0.25,-0.01146414517497353,-0.014416092511165768,-1.0071139523805623,-0.08913608989142374,3.125,3.875
