asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_mode,confirmation_bars,entry_timeout_bars,trade_count,long_count,short_count,bounce_count,break_count,win_rate,avg_return_pct,median_return_pct,avg_r_multiple,profit_factor,total_return,cagr,max_drawdown,trades_per_year,avg_hold_days,tp_rate,buy_hold_return,outperformance_vs_hold,quality_score
XAG,240,12,3,0.0006,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,86,49,37,62,24,0.45348837209302323,0.02329893867678545,-0.0015746128146323368,3.523808212461423,3.975632731986233,4.276162477009482,0.19869102015947293,-0.12350857084556421,9.370972553699284,15.587209302325581,0.0,3.025128865979381,1.2510336110301008,4.512619436880274
XAG,240,12,3,0.0004,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,84,48,36,66,18,0.44047619047619047,0.02250450285978607,-0.0022320121504904034,3.4972631413183146,4.054161157223047,3.7516954922477934,0.18509364857024324,-0.07738340622177997,9.153042959427207,16.476190476190474,0.0,3.025128865979381,0.7265666262684123,4.015517004438883
XAG,240,12,2,0.0006,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,97,55,42,71,26,0.44329896907216493,0.019570961876676986,-0.0022095959595960224,3.0339746986360443,3.395013042475153,3.7470906017853736,0.18496845063406697,-0.12350857084556432,10.569585322195705,13.79896907216495,0.0,3.025128865979381,0.7219617358059924,3.976610325680915
XAG,240,12,3,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,90,52,38,67,23,0.43333333333333335,0.021081630812337694,-0.0022320121504904034,1.5230998595111114,3.4303681369234047,3.734924330625436,0.18463715220619714,-0.1235085708455641,9.806831742243437,15.094444444444445,0.0,3.025128865979381,0.7097954646460547,3.9398491465788252
XAG,240,12,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,85,48,37,59,26,0.4117647058823529,0.02177741019710628,-0.0022544283413847843,1.139993562556474,3.740009780645063,3.6142747981904915,0.18131004863728184,-0.12350857084556421,9.262007756563246,14.535294117647059,0.0,3.025128865979381,0.5891459322111103,3.812300536723223
XAG,240,12,2,0.0004,0.25,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,90,53,37,72,18,0.4222222222222222,0.02017206053377857,-0.002944473626937172,3.1954368806988693,3.612484167962761,3.4079524951827036,0.17543642227280176,-0.07738340622177986,9.806831742243437,15.63888888888889,0.0,3.025128865979381,0.38282362920332247,3.6675864123199347
XAG,240,12,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,100,57,43,75,25,0.43,0.018352505986508283,-0.002515509770863289,1.2916083173710708,3.145359003228688,3.4529578245013592,0.17673822468592926,-0.12350857084556421,10.896479713603819,13.425,0.0,3.025128865979381,0.4278289585219781,3.6532001879660956
XAG,240,12,3,0.0006,0.5,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,88,50,38,64,24,0.4431818181818182,0.019886344833228133,-0.0022320121504904034,1.2227635008990163,3.050125392825984,3.4369927743854225,0.17627777466747307,-0.11970416976109033,9.58890214797136,15.380681818181818,0.0,3.025128865979381,0.41186390840604137,3.6380307611947855
XAG,240,12,2,0.0006,0.0,0.0,0.25,0.15,0.035,False,stop_confirm,2,6,96,53,43,67,29,0.40625,0.018752040557021146,-0.002515509770863289,1.0086203734586305,3.328578109219904,3.382429330604186,0.17469287949590928,-0.12598866632014838,10.460620525059666,12.828125,0.0,3.025128865979381,0.3573004646248048,3.5760977241570364
XAG,240,12,3,0.0004,0.25,0.0,0.35,0.15,0.035,False,stop_confirm,2,6,88,51,37,71,17,0.42045454545454547,0.020272912353737203,-0.0027619219737973766,1.452290738125637,3.4564353918240394,3.2642581034994267,0.17119920090260643,-0.08753612471665884,9.58890214797136,15.931818181818182,0.0,3.025128865979381,0.23912923752004556,3.4894951180286182
