trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,initial_risk,risk_pct_of_entry,return_pct,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_entry,safety_touch_count,final_safety_anchor1_idx,final_safety_anchor2_idx,final_safety_anchor1_price,final_safety_anchor2_price,final_safety_slope,final_safety_touch_count,safety_update_count,safety_path,mfe_r,mae_r
1,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-04-01 19:55:00+00:00,2021-04-09 17:25:00+00:00,2021-04-01 15:55:00-04:00,2021-04-09 13:25:00-04:00,2021-04-01,2021-04-09,Thursday,break,long,3,15,24.68,24.93,24.57333333333333,,29,40,0.10666666666666913,0.004321988114532785,0.010129659643435929,2.343749999999946,safety_break,11,5.5,resistance,14,26,25.55,24.68,-0.07250000000000008,-0.002963719979560555,24.4625,3,support,19,25,24.365,24.49,0.020833333333333332,0.0008478024959305481,24.57333333333333,3,28,36,24.55,24.96,0.05125000000000002,3,2,"[{""start_idx"":29,""end_idx"":33,""kind"":""support"",""anchor1_idx"":19,""anchor2_idx"":25,""anchor1_price"":24.365,""anchor2_price"":24.49,""slope"":0.020833333333333332,""touch_count"":3},{""start_idx"":34,""end_idx"":37,""kind"":""support"",""anchor1_idx"":25,""anchor2_idx"":32,""anchor1_price"":24.49,""anchor2_price"":24.68,""slope"":0.027142857142857326,""touch_count"":3},{""start_idx"":38,""end_idx"":40,""kind"":""support"",""anchor1_idx"":28,""anchor2_idx"":36,""anchor1_price"":24.55,""anchor2_price"":24.96,""slope"":0.05125000000000002,""touch_count"":3}]",8.531249999999805,0.0
2,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-04-09 19:55:00+00:00,2021-04-12 17:25:00+00:00,2021-04-09 15:55:00-04:00,2021-04-12 13:25:00-04:00,2021-04-09,2021-04-12,Friday,bounce,long,4,22,24.98,24.76,24.898076923076925,,41,42,0.08192307692307566,0.0032795467142944616,-0.008807045636509137,-2.685446009389699,safety_break,1,0.5,support,19,32,24.365,24.68,0.02423076923076933,0.0009731984243454121,24.898076923076925,4,support,19,32,24.365,24.68,0.02423076923076933,0.0009731984243454121,24.898076923076925,4,19,32,24.365,24.68,0.02423076923076933,4,0,"[{""start_idx"":41,""end_idx"":42,""kind"":""support"",""anchor1_idx"":19,""anchor2_idx"":32,""anchor1_price"":24.365,""anchor2_price"":24.68,""slope"":0.02423076923076933,""touch_count"":4}]",0.0,-3.05164319248831
3,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-04-12 19:55:00+00:00,2021-06-17 17:25:00+00:00,2021-04-12 15:55:00-04:00,2021-06-17 13:25:00-04:00,2021-04-12,2021-06-17,Monday,bounce,long,4,24,24.76,25.71,24.74586956521739,,43,138,0.014130434782611445,0.0005706960736111246,0.038368336025848215,67.2307692307561,safety_break,95,47.5,support,19,42,24.365,24.73,0.015869565217391392,0.0006413015786560814,24.74586956521739,4,support,19,42,24.365,24.73,0.015869565217391392,0.0006413015786560814,24.74586956521739,4,19,42,24.365,24.73,0.015869565217391392,4,0,"[{""start_idx"":43,""end_idx"":138,""kind"":""support"",""anchor1_idx"":19,""anchor2_idx"":42,""anchor1_price"":24.365,""anchor2_price"":24.73,""slope"":0.015869565217391392,""touch_count"":4}]",341.46153846147195,0.0
4,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-07-01 17:25:00+00:00,2021-07-02 17:25:00+00:00,2021-07-01 13:25:00-04:00,2021-07-02 13:25:00-04:00,2021-07-01,2021-07-02,Thursday,break,short,3,18,25.945,26.25,26.18,,158,160,0.23499999999999943,0.009057621892464807,-0.011755636924262847,-1.297872340425534,safety_break,2,1.0,support,140,156,25.49,26.13,0.040000000000000036,0.0015261350629530727,26.21,3,resistance,137,149,27.02,26.54,-0.040000000000000036,-0.0015278838808250586,26.18,2,137,149,27.02,26.54,-0.040000000000000036,2,0,"[{""start_idx"":158,""end_idx"":160,""kind"":""resistance"",""anchor1_idx"":137,""anchor2_idx"":149,""anchor1_price"":27.02,""anchor2_price"":26.54,""slope"":-0.040000000000000036,""touch_count"":2}]",0.04255319148936846,-1.297872340425534
5,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-07-06 19:55:00+00:00,2021-07-07 17:25:00+00:00,2021-07-06 15:55:00-04:00,2021-07-07 13:25:00-04:00,2021-07-06,2021-07-07,Tuesday,bounce,long,4,25,26.1,26.1,26.094166666666666,,165,166,0.005833333333335133,0.00022349936143046487,0.0,0.0,safety_break,1,0.5,support,140,164,25.49,26.07,0.024166666666666742,0.0009261329160412638,26.094166666666666,4,support,140,164,25.49,26.07,0.024166666666666742,0.0009261329160412638,26.094166666666666,4,140,164,25.49,26.07,0.024166666666666742,4,0,"[{""start_idx"":165,""end_idx"":166,""kind"":""support"",""anchor1_idx"":140,""anchor2_idx"":164,""anchor1_price"":25.49,""anchor2_price"":26.07,""slope"":0.024166666666666742,""touch_count"":4}]",0.0,0.0
6,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-07-07 19:55:00+00:00,2021-07-15 17:25:00+00:00,2021-07-07 15:55:00-04:00,2021-07-15 13:25:00-04:00,2021-07-07,2021-07-15,Wednesday,break,short,4,27,26.1,26.485,26.526666666666667,,167,175,0.42666666666666586,0.01634738186462321,-0.014750957854406055,-0.902343749999997,safety_break,8,4.0,support,140,164,25.49,26.07,0.024166666666666742,0.0009244206432692643,26.142500000000002,4,resistance,146,164,26.55,26.53,-0.0011111111111110875,-4.188657116528352e-05,26.526666666666667,3,137,173,27.02,26.38,-0.017777777777777795,3,2,"[{""start_idx"":167,""end_idx"":172,""kind"":""resistance"",""anchor1_idx"":146,""anchor2_idx"":164,""anchor1_price"":26.55,""anchor2_price"":26.53,""slope"":-0.0011111111111110875,""touch_count"":3},{""start_idx"":173,""end_idx"":174,""kind"":""resistance"",""anchor1_idx"":131,""anchor2_idx"":171,""anchor1_price"":28.17,""anchor2_price"":26.5,""slope"":-0.041750000000000044,""touch_count"":2},{""start_idx"":175,""end_idx"":175,""kind"":""resistance"",""anchor1_idx"":137,""anchor2_idx"":173,""anchor1_price"":27.02,""anchor2_price"":26.38,""slope"":-0.017777777777777795,""touch_count"":3}]",0.23437500000000377,-0.9374999999999984
7,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-07-15 19:55:00+00:00,2021-07-19 17:25:00+00:00,2021-07-15 15:55:00-04:00,2021-07-19 13:25:00-04:00,2021-07-15,2021-07-19,Thursday,break,long,3,39,26.365,25.785,26.14466666666667,,176,179,0.22033333333332905,0.00835703900372953,-0.021998862127820873,-2.6323751891074565,safety_break,3,1.5,resistance,137,173,27.02,26.38,-0.017777777777777795,-0.0006752764412931551,26.326666666666664,3,support,159,174,25.935,26.12,0.012333333333333484,0.0004717341969044094,26.14466666666667,2,159,174,25.935,26.12,0.012333333333333484,2,0,"[{""start_idx"":176,""end_idx"":179,""kind"":""support"",""anchor1_idx"":159,""anchor2_idx"":174,""anchor1_price"":25.935,""anchor2_price"":26.12,""slope"":0.012333333333333484,""touch_count"":2}]",0.6127080181543306,-2.9046898638427057
8,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-08-03 17:25:00+00:00,2021-08-05 19:55:00+00:00,2021-08-03 13:25:00-04:00,2021-08-05 15:55:00-04:00,2021-08-03,2021-08-05,Tuesday,break,short,4,22,26.835,26.63,27.236666666666668,,201,206,0.4016666666666673,0.014968014409042938,0.007639277063536509,0.5103734439834063,safety_break,5,2.5,support,179,187,25.725,26.155,0.053749999999999964,0.001997584316640341,26.9075,4,resistance,193,199,28.13,27.46,-0.11166666666666636,-0.004099865377554755,27.236666666666668,3,197,204,27.78,26.87,-0.13000000000000003,3,1,"[{""start_idx"":201,""end_idx"":205,""kind"":""resistance"",""anchor1_idx"":193,""anchor2_idx"":199,""anchor1_price"":28.13,""anchor2_price"":27.46,""slope"":-0.11166666666666636,""touch_count"":3},{""start_idx"":206,""end_idx"":206,""kind"":""resistance"",""anchor1_idx"":197,""anchor2_idx"":204,""anchor1_price"":27.78,""anchor2_price"":26.87,""slope"":-0.13000000000000003,""touch_count"":3}]",0.7842323651452302,-0.08713692946058113
9,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-08-06 17:25:00+00:00,2021-08-06 19:55:00+00:00,2021-08-06 13:25:00-04:00,2021-08-06 15:55:00-04:00,2021-08-06,2021-08-06,Friday,break,long,4,14,26.59,26.56,26.581153846153846,,207,208,0.008846153846153726,0.0003326872450603131,-0.001128243700639353,-3.3913043478262614,safety_break,1,0.5,resistance,193,199,28.13,27.46,-0.11166666666666636,-0.004203262233375145,26.56666666666667,4,support,179,205,25.725,26.52,0.030576923076923005,0.0011503233928028796,26.581153846153846,4,179,205,25.725,26.52,0.030576923076923005,4,0,"[{""start_idx"":207,""end_idx"":208,""kind"":""support"",""anchor1_idx"":179,""anchor2_idx"":205,""anchor1_price"":25.725,""anchor2_price"":26.52,""slope"":0.030576923076923005,""touch_count"":4}]",3.9565217391305048,-3.3913043478262614
10,COPPER,240,8,3,0.0006,0.0,0.0,0.25,0.15,0.035,False,2021-08-09 17:25:00+00:00,2021-08-10 17:25:00+00:00,2021-08-09 13:25:00-04:00,2021-08-10 13:25:00-04:00,2021-08-09,2021-08-10,Monday,bounce,short,3,16,26.29,26.7,26.54142857142857,,209,211,0.2514285714285691,0.009563658099222865,-0.015595283377710212,-1.6306818181818337,safety_break,2,1.0,resistance,193,207,28.13,26.74,-0.09928571428571432,-0.003740782604015288,26.54142857142857,3,resistance,193,207,28.13,26.74,-0.09928571428571432,-0.003740782604015288,26.54142857142857,3,193,207,28.13,26.74,-0.09928571428571432,3,0,"[{""start_idx"":209,""end_idx"":211,""kind"":""resistance"",""anchor1_idx"":193,""anchor2_idx"":207,""anchor1_price"":28.13,""anchor2_price"":26.74,""slope"":-0.09928571428571432,""touch_count"":3}]",0.1193181818181733,-1.6306818181818337
