asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,trade_count,long_count,short_count,bounce_count,break_count,win_rate,avg_return_pct,median_return_pct,avg_r_multiple,profit_factor,total_return,cagr,max_drawdown,trades_per_year,avg_hold_days,tp_rate,buy_hold_return,outperformance_vs_hold,quality_score
XAU,240,8,3,0.0002,0.25,0.0,0.35,0.15,0.035,False,252,131,121,187,65,0.30952380952380953,0.0024133790359262266,-0.00236727407085241,0.5269944365687951,1.5143948181618974,0.6906326444206887,0.05890440710293876,-0.15965769940217434,27.467323187108324,6.880952380952381,0.0,2.6504156876920297,-1.959783043271341,0.8744664336893159
XAU,240,8,3,0.0004,0.0,0.0,0.35,0.15,0.035,False,276,154,122,198,78,0.29347826086956524,0.0020806715780143396,-0.0022999281541679073,0.4509077275545763,1.481879701993268,0.6498612348496438,0.05609061825934414,-0.1543285372697506,30.083258728737686,5.6648550724637685,0.0,2.6504156876920297,-2.000554452842386,0.8278097762731426
XAU,240,8,2,0.0004,0.25,0.0,0.35,0.15,0.035,False,304,160,144,231,73,0.3157894736842105,0.0019027553231348263,-0.001956579294789318,0.4535553101213553,1.430295994155193,0.6404130360179967,0.05542972827588888,-0.15229786190953132,33.13518352730528,5.7006578947368425,0.0,2.6504156876920297,-2.010002651674033,0.8173216602126433
XAU,240,8,3,0.0004,0.0,0.0,0.25,0.15,0.035,False,275,153,122,190,85,0.29818181818181816,0.0020083113418492035,-0.002414292612264557,0.7917302992917968,1.4586962487606596,0.6140473286185166,0.053665995305712144,-0.17682921759729098,30.0280269058296,5.554545454545455,0.0,2.6504156876920297,-2.036368359073513,0.8114725998142714
XAU,240,8,3,0.0002,0.25,0.0,0.25,0.15,0.035,False,252,130,122,179,73,0.32142857142857145,0.0022532540759348327,-0.00236727407085241,0.542880681302459,1.4696107486936387,0.6235374641773366,0.054340707537541943,-0.1710048290852385,27.516591928251124,6.765873015873016,0.0,2.6504156876920297,-2.026878223514693,0.8000984283255574
XAU,240,8,2,0.0006,0.25,0.0,0.35,0.15,0.035,False,326,179,147,231,95,0.31901840490797545,0.0016807243419801456,-0.001987787322283552,0.5012563117621088,1.3610438768172162,0.5748599427918191,0.050671158737886746,-0.15850954524962957,35.480184743742555,4.943251533742331,0.0,2.6504156876920297,-2.0755557449002104,0.7490385862836744
XAU,240,8,3,0.0006,0.5,0.0,0.35,0.15,0.035,False,247,137,110,177,70,0.29959514170040485,0.0022004218204232343,-0.0027633562217384,0.48229771897068074,1.4417213138122655,0.5769806747093684,0.05088721966963261,-0.1982435371669785,26.914304892601432,6.1214574898785425,0.0,2.6504156876920297,-2.073435012982661,0.7297752499644967
XAU,240,8,3,0.0004,0.25,0.0,0.35,0.15,0.035,False,258,140,118,185,73,0.313953488372093,0.002036922089571652,-0.0022999281541679073,0.4093159143711818,1.4410162916413125,0.5680528441515023,0.05025266205945034,-0.17129423484420736,28.121307072515666,6.2189922480620154,0.0,2.6504156876920297,-2.0823628435405275,0.7296834260416677
XAU,240,8,2,0.0004,0.0,0.0,0.35,0.15,0.035,False,315,172,143,236,79,0.2761904761904762,0.0015700674574123962,-0.0019339107037753545,0.7341817714594858,1.3569904513832265,0.5090050176752887,0.04586782986739402,-0.14317212178130168,34.33415398388541,5.46984126984127,0.0,2.6504156876920297,-2.1414106700167412,0.715443222609204
XAU,240,8,3,0.0002,0.0,0.0,0.35,0.15,0.035,False,292,156,136,220,72,0.2705479452054795,0.0018821600401166382,-0.0025850064243136406,-0.17230795148265599,1.4302006187594374,0.5973426759934957,0.05237336078232868,-0.1644699250173105,31.8272157564906,5.669520547945205,0.0,2.6504156876920297,-2.053073011698534,0.7043568519902997
