trade_id,asset,bar_minutes,recent_pivots,min_touches,slope_threshold,stop_buffer,take_profit_r,touch_tolerance,break_buffer,max_break_risk_pct,use_take_profit,entry_time_utc,exit_time_utc,entry_time_et,exit_time_et,entry_date_et,exit_date_et,entry_weekday,setup,side,touch_count,touch_age_bars,entry_price,exit_price,initial_stop,take_profit_price,entry_bar_idx,exit_bar_idx,initial_risk,risk_pct_of_entry,return_pct,r_multiple,exit_reason,hold_bars,hold_days_est,action_kind,action_anchor1_idx,action_anchor2_idx,action_anchor1_price,action_anchor2_price,action_slope,action_slope_pct,action_line_entry,action_touch_count,safety_kind,safety_anchor1_idx,safety_anchor2_idx,safety_anchor1_price,safety_anchor2_price,safety_slope,safety_slope_pct,safety_line_entry,safety_touch_count,mfe_r,mae_r
1,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-01-27 20:55:00+00:00,2017-02-07 20:55:00+00:00,2017-01-27 15:55:00-05:00,2017-02-07 15:55:00-05:00,2017-01-27,2017-02-07,Friday,bounce,short,3,21,25.98,25.92,26.05525,,37,51,0.07525000000000048,0.00289645881447269,0.002309468822170868,0.7973421926910078,safety_break,14,7.0,resistance,16,36,26.275,26.02,-0.01274999999999995,-0.0004902479116400216,26.00725,3,resistance,16,36,26.275,26.02,-0.01274999999999995,-0.0004902479116400216,26.00725,3,4.318936877076375,-0.9966777408637716
2,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-02-08 18:25:00+00:00,2017-02-27 18:25:00+00:00,2017-02-08 13:25:00-05:00,2017-02-27 13:25:00-05:00,2017-02-08,2017-02-27,Wednesday,bounce,long,3,11,25.915,26.1,25.7695,,52,78,0.1454999999999984,0.005614508971637986,0.00713872274744376,1.27147766323027,safety_break,26,13.0,support,41,49,25.685,25.785,0.012500000000000178,0.0004840739665020884,25.8225,3,support,41,49,25.685,25.785,0.012500000000000178,0.0004840739665020884,25.8225,3,2.4742268041237345,-0.17182130584191652
3,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-02-27 20:55:00+00:00,2017-03-10 18:25:00+00:00,2017-02-27 15:55:00-05:00,2017-03-10 13:25:00-05:00,2017-02-27,2017-03-10,Monday,bounce,long,3,15,26.125,26.18,26.05725,,79,96,0.0677500000000002,0.002593301435406706,0.002105263157894832,0.8118081180811743,safety_break,17,8.5,support,64,76,25.93,26.055,0.010416666666666666,0.00039931637037391983,26.08625,3,support,64,76,25.93,26.055,0.010416666666666666,0.00039931637037391983,26.08625,3,4.354243542435436,-1.3284132841328353
4,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-04-03 17:25:00+00:00,2017-04-04 17:25:00+00:00,2017-04-03 13:25:00-04:00,2017-04-04 13:25:00-04:00,2017-04-03,2017-04-04,Monday,break,short,3,10,25.965,26.005,26.005523809523808,,128,130,0.040523809523808296,0.001560709013048654,-0.0015405353360291585,-0.9870740305523003,safety_break,2,1.0,support,118,126,25.52,25.89,0.046250000000000124,0.001780044260559997,25.9825,3,resistance,105,126,25.975,25.97,-0.0002380952380953599,-9.1682558310154e-06,25.969523809523807,2,0.4935370152761501,-0.9870740305523003
5,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-04-04 19:55:00+00:00,2017-04-07 17:25:00+00:00,2017-04-04 15:55:00-04:00,2017-04-07 13:25:00-04:00,2017-04-04,2017-04-07,Tuesday,break,short,3,13,25.975,26.135,26.026260869565217,,131,136,0.05126086956521547,0.0019734694731555523,-0.006159769008662108,-3.121289228159577,safety_break,5,2.5,support,118,126,25.52,25.89,0.046250000000000124,0.0017705890797722209,26.12125,3,resistance,105,128,25.975,26.0,0.0010869565217390686,4.180077749445902e-05,26.003260869565217,3,0.5852417302799423,-3.218829516539544
6,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-04-11 19:55:00+00:00,2017-04-13 17:25:00+00:00,2017-04-11 15:55:00-04:00,2017-04-13 13:25:00-04:00,2017-04-11,2017-04-13,Tuesday,bounce,long,3,23,26.02,25.97,25.988863636363632,,141,144,0.031136363636367292,0.0011966319614284124,-0.0019215987701768356,-1.6058394160582283,safety_break,3,1.5,support,118,140,25.52,25.99,0.02136363636363631,0.0008213193534294432,26.011363636363633,3,support,118,140,25.52,25.99,0.02136363636363631,0.0008213193534294432,26.011363636363633,3,1.1240875912407484,-3.051094890510554
7,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-04-17 17:25:00+00:00,2017-04-21 19:55:00+00:00,2017-04-17 13:25:00-04:00,2017-04-21 15:55:00-04:00,2017-04-17,2017-04-21,Monday,break,short,3,22,25.875,25.81,25.978,,148,157,0.10300000000000153,0.003980676328502475,0.002512077294686055,0.6310679611650516,safety_break,9,4.5,support,126,142,25.89,25.975,0.005312500000000053,0.00020427290860589953,26.006875,3,resistance,137,147,26.16,25.97,-0.019000000000000128,-0.0007321490501329478,25.951,3,1.8932038834951201,-0.5339805825242612
8,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-05-01 19:55:00+00:00,2017-05-02 19:55:00+00:00,2017-05-01 15:55:00-04:00,2017-05-02 15:55:00-04:00,2017-05-01,2017-05-02,Monday,break,long,4,26,25.6,25.555,25.548,,169,171,0.052000000000003155,0.0020312500000001232,-0.0017578125000000666,-0.8653846153845957,safety_break,2,1.0,resistance,143,164,26.055,25.655,-0.01904761904761898,-0.0007452189546441086,25.559761904761906,4,support,160,166,25.485,25.54,0.00916666666666662,0.00035852807926729715,25.5675,3,0.28846153846146355,-0.9615384615384168
9,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-05-03 17:25:00+00:00,2017-05-09 17:25:00+00:00,2017-05-03 13:25:00-04:00,2017-05-09 13:25:00-04:00,2017-05-03,2017-05-09,Wednesday,break,short,3,12,25.585,25.71,25.6865,,172,180,0.10149999999999793,0.003967168262653817,-0.004885675200312578,-1.2315270935960843,safety_break,8,4.0,support,160,166,25.485,25.54,0.00916666666666662,0.00035814286644526746,25.595,3,resistance,145,157,25.98,25.84,-0.011666666666666714,-0.00045457497240080713,25.665,3,1.37931034482762,-1.4285714285714535
10,UUP,240,8,3,0.0002,0.5,0.0,0.25,0.15,0.035,False,2017-05-09 19:55:00+00:00,2017-05-16 17:25:00+00:00,2017-05-09 15:55:00-04:00,2017-05-16 13:25:00-04:00,2017-05-09,2017-05-16,Tuesday,break,long,4,32,25.72,25.365,25.463500000000003,,181,190,0.2564999999999955,0.009972783825816312,-0.013802488335925345,-1.3840155945419361,safety_break,9,4.5,resistance,149,178,25.93,25.61,-0.0110344827586207,-0.00043142383347040067,25.576896551724136,4,support,163,168,25.54,25.53,-0.001999999999999602,-7.84190715181776e-05,25.504000000000005,3,0.13645224171540254,-1.4230019493177577
